airpt_arr,pax2001,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,3981185,LEBL,41.2971,2.07846,40.471926,-3.56264
LEPA,1462687,LEBL,41.2971,2.07846,39.551700591999996,2.73881006241
EHAM,811763,LEBL,41.2971,2.07846,52.308601,4.76389
EGLL,763996,LEBL,41.2971,2.07846,51.4706,-0.461941
LEZL,668560,LEBL,41.2971,2.07846,37.41799926757813,-5.8931097984313965
LFPG,645730,LEBL,41.2971,2.07846,49.012798,2.55
EBBR,595646,LEBL,41.2971,2.07846,50.9014015198,4.48443984985
EDDF,588941,LEBL,41.2971,2.07846,50.033333,8.570556
LEMG,569955,LEBL,41.2971,2.07846,36.67490005493164,-4.499110221862793
LEIB,521136,LEBL,41.2971,2.07846,38.8728981018,1.3731199502899998
LEMH,456967,LEBL,41.2971,2.07846,39.86259841918945,4.2186498641967765
LIRF,409385,LEBL,41.2971,2.07846,41.800277799999996,12.238888900000001
LEBB,393127,LEBL,41.2971,2.07846,43.30110168457031,-2.9106099605560303
LIMC,386087,LEBL,41.2971,2.07846,45.6306,8.728110000000001
LFPO,364828,LEBL,41.2971,2.07846,48.7233333,2.3794444
EGGW,347488,LEBL,41.2971,2.07846,51.87469863891602,-0.36833301186561584
LEAL,341562,LEBL,41.2971,2.07846,38.28219985961914,-0.5581560134887695
LSZH,333965,LEBL,41.2971,2.07846,47.464698999999996,8.54917
EDDM,322695,LEBL,41.2971,2.07846,48.353802,11.7861
LSGG,277112,LEBL,41.2971,2.07846,46.23809814453125,6.108950138092041
GCXO,251979,LEBL,41.2971,2.07846,28.4827003479,-16.341499328599998
UUEE,249859,LEBL,41.2971,2.07846,55.972599,37.4146
LPPT,234959,LEBL,41.2971,2.07846,38.7813,-9.13592
EGKK,219616,LEBL,41.2971,2.07846,51.148102,-0.190278
LEST,218726,LEBL,41.2971,2.07846,42.89630126953125,-8.415140151977539
LEVC,199403,LEBL,41.2971,2.07846,39.4893,-0.481625
GCLP,184690,LEBL,41.2971,2.07846,27.931900024414066,-15.38659954071045
EGSS,181520,LEBL,41.2971,2.07846,51.8849983215,0.23499999940400002
LEGR,174561,LEBL,41.2971,2.07846,37.18870162963867,-3.777359962463379
LEAS,172757,LEBL,41.2971,2.07846,43.5635986328125,-6.0346198081970215
EGGP,164767,LEBL,41.2971,2.07846,53.33359909057617,-2.849720001220703
KJFK,159247,LEBL,41.2971,2.07846,40.63980103,-73.77890015
LEVX,153645,LEBL,41.2971,2.07846,42.2318000793457,-8.62677001953125
EKCH,134639,LEBL,41.2971,2.07846,55.617900848389,12.656000137328999
EDDL,127720,LEBL,41.2971,2.07846,51.289501,6.766780000000001
LECO,126202,LEBL,41.2971,2.07846,43.302101,-8.37726
LLBG,115372,LEBL,41.2971,2.07846,32.011398315429695,34.88669967651367
GCTS,110238,LEBL,41.2971,2.07846,28.044500351,-16.5725002289
LIPZ,105162,LEBL,41.2971,2.07846,45.505299,12.3519
EDDS,99277,LEBL,41.2971,2.07846,48.6898994446,9.22196006775
EIDW,94215,LEBL,41.2971,2.07846,53.421299,-6.27007
LOWW,90900,LEBL,41.2971,2.07846,48.110298156738004,16.569700241089002
LFMN,88696,LEBL,41.2971,2.07846,43.658401489300005,7.215869903560001
EDDH,85717,LEBL,41.2971,2.07846,53.630401611328004,9.988229751586902
GCRR,84674,LEBL,41.2971,2.07846,28.945498999999998,-13.6052
LFLL,83027,LEBL,41.2971,2.07846,45.725556,5.081111
LTBA,82410,LEBL,41.2971,2.07846,40.976898,28.8146
LGAT,81013,LEBL,41.2971,2.07846,37.893299,23.726101
LEAM,80039,LEBL,41.2971,2.07846,36.84389877319336,-2.3701000213623047
EGCC,79822,LEBL,41.2971,2.07846,53.35369873046875,-2.2749500274658203
LESO,76308,LEBL,41.2971,2.07846,43.35649871826172,-1.7906099557876587
LIML,75806,LEBL,41.2971,2.07846,45.445099,9.27674
EFHK,75622,LEBL,41.2971,2.07846,60.317199707031,24.963300704956
GMFF,0,LEBL,41.2971,2.07846,33.927299499499995,-4.977960109709999
GMMN,0,LEBL,41.2971,2.07846,33.36750030517578,-7.589970111846924
GMMW,0,LEBL,41.2971,2.07846,34.988800048799995,-3.0282099247000005
GMMX,0,LEBL,41.2971,2.07846,31.6068992615,-8.036299705510002
LRBS,0,LEBL,41.2971,2.07846,44.50320053100586,26.10210037231445
OTBD,0,LEBL,41.2971,2.07846,25.261101,51.565102
EPKT,0,LEBL,41.2971,2.07846,50.4743,19.08
GMTT,0,LEBL,41.2971,2.07846,35.726898193400004,-5.916890144349999
LMML,0,LEBL,41.2971,2.07846,35.857498,14.4775
MMMX,0,LEBL,41.2971,2.07846,19.4363,-99.072098
LRCL,0,LEBL,41.2971,2.07846,46.78519821166992,23.686199188232425
EPWA,0,LEBL,41.2971,2.07846,52.1656990051,20.9671001434
EHEH,0,LEBL,41.2971,2.07846,51.4500999451,5.374529838559999
EHRD,0,LEBL,41.2971,2.07846,51.956902,4.43722
ENGM,0,LEBL,41.2971,2.07846,60.193901062011996,11.100399971008
EPMO,0,LEBL,41.2971,2.07846,52.451099,20.6518
LPPR,0,LEBL,41.2971,2.07846,41.248100280799996,-8.68138980865
OMDB,0,LEBL,41.2971,2.07846,25.252799987800003,55.3643989563
LROP,0,LEBL,41.2971,2.07846,44.5711111,26.085
EGGD,0,LEBL,41.2971,2.07846,51.382702,-2.71909
KOAK,0,LEBL,41.2971,2.07846,37.721298,-122.221001
KMIA,0,LEBL,41.2971,2.07846,25.79319953918457,-80.29060363769531
KLAX,0,LEBL,41.2971,2.07846,33.94250107,-118.40799709999999
KEWR,0,LEBL,41.2971,2.07846,40.69250106811523,-74.168701171875
KATL,0,LEBL,41.2971,2.07846,33.6367,-84.428101
EGPK,0,LEBL,41.2971,2.07846,55.5093994140625,-4.586669921875
EGPH,0,LEBL,41.2971,2.07846,55.95000076293945,-3.372499942779541
EGPF,0,LEBL,41.2971,2.07846,55.8718986511,-4.43306016922
EGNX,0,LEBL,41.2971,2.07846,52.8311004639,-1.32806003094
EGNT,0,LEBL,41.2971,2.07846,55.037498474121094,-1.6916699409484863
EGNM,0,LEBL,41.2971,2.07846,53.86589813232422,-1.6605700254440308
EGMC,0,LEBL,41.2971,2.07846,51.5713996887207,0.6955559849739075
EGBB,0,LEBL,41.2971,2.07846,52.4538993835,-1.7480299472799998
ULLI,0,LEBL,41.2971,2.07846,59.80030059814453,30.26250076293945
EGAA,0,LEBL,41.2971,2.07846,54.6575012207,-6.21582984924
UKBB,0,LEBL,41.2971,2.07846,50.34500122070313,30.89469909667969
LTFJ,0,LEBL,41.2971,2.07846,40.898601532,29.3092002869
DTTA,0,LEBL,41.2971,2.07846,36.85100173950195,10.22719955444336
WSSS,0,LEBL,41.2971,2.07846,1.35019,103.994003
ELLX,0,LEBL,41.2971,2.07846,49.6233333,6.204444400000001
ESSA,0,LEBL,41.2971,2.07846,59.651901245116996,17.918600082397
ESKN,0,LEBL,41.2971,2.07846,58.78860092163086,16.912200927734375
ESGG,0,LEBL,41.2971,2.07846,57.662799835205,12.279800415039
UUWW,0,LEBL,41.2971,2.07846,55.591499328599994,37.2615013123
UUDD,0,LEBL,41.2971,2.07846,55.40879821777344,37.90629959106445
EVRA,0,LEBL,41.2971,2.07846,56.92359924316406,23.971099853515625
LHBP,0,LEBL,41.2971,2.07846,47.429759999999995,19.261093
EYVI,0,LEBL,41.2971,2.07846,54.634102,25.285801
HECA,0,LEBL,41.2971,2.07846,30.12190055847168,31.40559959411621
DAAG,0,LEBL,41.2971,2.07846,36.691001892089844,3.215409994125366
EDLW,0,LEBL,41.2971,2.07846,51.518299102799986,7.61223983765
EDLV,0,LEBL,41.2971,2.07846,51.6024017334,6.14216995239
EDDV,0,LEBL,41.2971,2.07846,52.461101532,9.68507957458
EDDT,0,LEBL,41.2971,2.07846,52.5597,13.2877
EDDK,0,LEBL,41.2971,2.07846,50.865898132299996,7.1427397728
EDDB,0,LEBL,41.2971,2.07846,52.380001,13.5225
LKPR,0,LEBL,41.2971,2.07846,50.1008,14.26
MUVR,0,LEBL,41.2971,2.07846,23.03440093994141,-81.435302734375
GCFV,0,LEBL,41.2971,2.07846,28.452699661254886,-13.863800048828125
MU99,0,LEBL,41.2971,2.07846,38.525001525878906,-90.4539031982422
MRPV,0,LEBL,41.2971,2.07846,9.957050323486328,-84.13980102539062
SKBO,0,LEBL,41.2971,2.07846,4.70159,-74.1469
ZSPD,0,LEBL,41.2971,2.07846,31.143400192260746,121.80500030517578
ZBAA,0,LEBL,41.2971,2.07846,40.0801010131836,116.58499908447266
CYYZ,0,LEBL,41.2971,2.07846,43.6772003174,-79.63059997559999
CYUL,0,LEBL,41.2971,2.07846,45.4706001282,-73.7407989502
SBGR,0,LEBL,41.2971,2.07846,-23.435556411743164,-46.47305679321289
SBGL,0,LEBL,41.2971,2.07846,-22.809999465900002,-43.2505569458
LBSF,0,LEBL,41.2971,2.07846,42.696693420410156,23.411436080932614
EBCI,0,LEBL,41.2971,2.07846,50.459202000000005,4.4538199999999994
LGAV,0,LEBL,41.2971,2.07846,37.9364013672,23.944499969499997
LEJR,0,LEBL,41.2971,2.07846,36.74459838867188,-6.060110092163086
RKSI,0,LEBL,41.2971,2.07846,37.46910095214844,126.45099639892578
BIKF,0,LEBL,41.2971,2.07846,63.985000610352,-22.605600357055998
LIRQ,0,LEBL,41.2971,2.07846,43.810001,11.2051
LIRN,0,LEBL,41.2971,2.07846,40.886002000000005,14.2908
LIRA,0,LEBL,41.2971,2.07846,41.7994,12.5949
LIPV,0,LEBL,41.2971,2.07846,45.428298999999996,12.3881
LIPH,0,LEBL,41.2971,2.07846,45.648399,12.1944
LIPE,0,LEBL,41.2971,2.07846,44.5354,11.2887
LIMF,0,LEBL,41.2971,2.07846,45.200802,7.64963
LIME,0,LEBL,41.2971,2.07846,45.673901,9.70417
LIEE,0,LEBL,41.2971,2.07846,39.251499,9.05428
LICC,0,LEBL,41.2971,2.07846,37.466801000000004,15.0664
SAEZ,0,LEBL,41.2971,2.07846,-34.8222,-58.5358
LEPP,0,LEBL,41.2971,2.07846,42.77000045776367,-1.6463299989700315
LDDU,0,LEBL,41.2971,2.07846,42.5614013671875,18.268199920654297
LFSB,0,LEBL,41.2971,2.07846,47.59,7.5291667
LFRS,0,LEBL,41.2971,2.07846,47.15319824220001,-1.61073005199
LFOB,0,LEBL,41.2971,2.07846,49.45439910888672,2.1127800941467285
LFML,0,LEBL,41.2971,2.07846,43.439271921999996,5.22142410278
LFLY,0,LEBL,41.2971,2.07846,45.72719955444336,4.944270133972168
LFBD,0,LEBL,41.2971,2.07846,44.8283004761,-0.7155560255050001
EFHF,0,LEBL,41.2971,2.07846,60.254600524902344,25.04280090332031
LEXJ,0,LEBL,41.2971,2.07846,43.427101135253906,-3.82000994682312
LEVD,0,LEBL,41.2971,2.07846,41.7061004639,-4.85194015503
KPHL,0,LEBL,41.2971,2.07846,39.87189865112305,-75.24109649658203
