airpt_arr,pax2018,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LIRP,112049,LEGE,41.901000977,2.7605500221,43.683899,10.3927
EHEH,93592,LEGE,41.901000977,2.7605500221,51.4500999451,5.374529838559999
EGCC,88706,LEGE,41.901000977,2.7605500221,53.35369873046875,-2.2749500274658203
EGSS,81579,LEGE,41.901000977,2.7605500221,51.8849983215,0.23499999940400002
EBCI,81291,LEGE,41.901000977,2.7605500221,50.459202000000005,4.4538199999999994
EGBB,76416,LEGE,41.901000977,2.7605500221,52.4538993835,-1.7480299472799998
UUWW,75698,LEGE,41.901000977,2.7605500221,55.591499328599994,37.2615013123
EDLV,68963,LEGE,41.901000977,2.7605500221,51.6024017334,6.14216995239
EHAM,68460,LEGE,41.901000977,2.7605500221,52.308601,4.76389
EGGD,65651,LEGE,41.901000977,2.7605500221,51.382702,-2.71909
EDSB,55543,LEGE,41.901000977,2.7605500221,48.7793998718,8.08049964905
EHRD,55214,LEGE,41.901000977,2.7605500221,51.956902,4.43722
EDFH,54251,LEGE,41.901000977,2.7605500221,49.9487,7.263889999999999
LFOB,53165,LEGE,41.901000977,2.7605500221,49.45439910888672,2.1127800941467285
LIEE,50760,LEGE,41.901000977,2.7605500221,39.251499,9.05428
EGHH,42226,LEGE,41.901000977,2.7605500221,50.77999877929688,-1.8424999713897705
EGNM,39844,LEGE,41.901000977,2.7605500221,53.86589813232422,-1.6605700254440308
LZIB,35776,LEGE,41.901000977,2.7605500221,48.17020034790039,17.212699890136722
EPKK,35454,LEGE,41.901000977,2.7605500221,50.077702,19.7848
EGNT,34932,LEGE,41.901000977,2.7605500221,55.037498474121094,-1.6916699409484863
GMME,34891,LEGE,41.901000977,2.7605500221,34.051497999999995,-6.751519999999999
EGNX,34437,LEGE,41.901000977,2.7605500221,52.8311004639,-1.32806003094
EGPH,34139,LEGE,41.901000977,2.7605500221,55.95000076293945,-3.372499942779541
EDDW,30904,LEGE,41.901000977,2.7605500221,53.0475006104,8.78666973114
EGGW,30257,LEGE,41.901000977,2.7605500221,51.87469863891602,-0.36833301186561584
EGAA,30029,LEGE,41.901000977,2.7605500221,54.6575012207,-6.21582984924
EKBI,29332,LEGE,41.901000977,2.7605500221,55.7402992249,9.15178012848
LROD,28816,LEGE,41.901000977,2.7605500221,47.02529907226562,21.90250015258789
EVRA,28404,LEGE,41.901000977,2.7605500221,56.92359924316406,23.971099853515625
EIDW,27803,LEGE,41.901000977,2.7605500221,53.421299,-6.27007
EPPO,26848,LEGE,41.901000977,2.7605500221,52.4210014343,16.8262996674
LIBP,26114,LEGE,41.901000977,2.7605500221,42.431702,14.1811
EDDT,25058,LEGE,41.901000977,2.7605500221,52.5597,13.2877
EPWR,22804,LEGE,41.901000977,2.7605500221,51.10269927979999,16.885799408
EPWA,21865,LEGE,41.901000977,2.7605500221,52.1656990051,20.9671001434
EETN,21543,LEGE,41.901000977,2.7605500221,59.41329956049999,24.8327999115
EDJA,21371,LEGE,41.901000977,2.7605500221,47.9888000488,10.2395000458
LGTS,20915,LEGE,41.901000977,2.7605500221,40.51969909667969,22.97089958190918
EDDF,20888,LEGE,41.901000977,2.7605500221,50.033333,8.570556
EGGP,20638,LEGE,41.901000977,2.7605500221,53.33359909057617,-2.849720001220703
EYKA,20535,LEGE,41.901000977,2.7605500221,54.96390151977539,24.084800720214844
UKKK,0,LEGE,41.901000977,2.7605500221,50.40194,30.451940000000004
ESKN,0,LEGE,41.901000977,2.7605500221,58.78860092163086,16.912200927734375
EGCN,0,LEGE,41.901000977,2.7605500221,53.4805378105,-1.01065635681
EGFF,0,LEGE,41.901000977,2.7605500221,51.39670181274414,-3.343329906463623
EGKK,0,LEGE,41.901000977,2.7605500221,51.148102,-0.190278
UUEE,0,LEGE,41.901000977,2.7605500221,55.972599,37.4146
EGNH,0,LEGE,41.901000977,2.7605500221,53.77170181274414,-3.0286099910736084
EGPF,0,LEGE,41.901000977,2.7605500221,55.8718986511,-4.43306016922
EGPK,0,LEGE,41.901000977,2.7605500221,55.5093994140625,-4.586669921875
LOWW,0,LEGE,41.901000977,2.7605500221,48.110298156738004,16.569700241089002
GMFF,0,LEGE,41.901000977,2.7605500221,33.927299499499995,-4.977960109709999
LPPR,0,LEGE,41.901000977,2.7605500221,41.248100280799996,-8.68138980865
ENTO,0,LEGE,41.901000977,2.7605500221,59.1866989136,10.258600235
EDDK,0,LEGE,41.901000977,2.7605500221,50.865898132299996,7.1427397728
EDDL,0,LEGE,41.901000977,2.7605500221,51.289501,6.766780000000001
EDLW,0,LEGE,41.901000977,2.7605500221,51.518299102799986,7.61223983765
EKAH,0,LEGE,41.901000977,2.7605500221,56.2999992371,10.619000434899998
LEGR,0,LEGE,41.901000977,2.7605500221,37.18870162963867,-3.777359962463379
LEIB,0,LEGE,41.901000977,2.7605500221,38.8728981018,1.3731199502899998
LEMD,0,LEGE,41.901000977,2.7605500221,40.471926,-3.56264
LEMG,0,LEGE,41.901000977,2.7605500221,36.67490005493164,-4.499110221862793
LEPA,0,LEGE,41.901000977,2.7605500221,39.551700591999996,2.73881006241
LEZL,0,LEGE,41.901000977,2.7605500221,37.41799926757813,-5.8931097984313965
LFPO,0,LEGE,41.901000977,2.7605500221,48.7233333,2.3794444
EINN,0,LEGE,41.901000977,2.7605500221,52.702,-8.92482
LICT,0,LEGE,41.901000977,2.7605500221,37.9114,12.488
LIEA,0,LEGE,41.901000977,2.7605500221,40.632099,8.29077
LIME,0,LEGE,41.901000977,2.7605500221,45.673901,9.70417
LIMF,0,LEGE,41.901000977,2.7605500221,45.200802,7.64963
LIPE,0,LEGE,41.901000977,2.7605500221,44.5354,11.2887
LIPH,0,LEGE,41.901000977,2.7605500221,45.648399,12.1944
LIRA,0,LEGE,41.901000977,2.7605500221,41.7994,12.5949
EBBR,0,LEGE,41.901000977,2.7605500221,50.9014015198,4.48443984985
GMMX,0,LEGE,41.901000977,2.7605500221,31.6068992615,-8.036299705510002
LMML,0,LEGE,41.901000977,2.7605500221,35.857498,14.4775
EHBK,0,LEGE,41.901000977,2.7605500221,50.911701,5.7701400000000005
ZZZZ,0,LEGE,41.901000977,2.7605500221,30.784722,130.270556
