airpt,value,airpt_lat,airpt_lon
EGCC,122359,53.35369873046875,-2.2749500274658203
EGKK,77867,51.148102,-0.190278
EGBB,56421,52.4538993835,-1.7480299472799998
EGPF,54223,55.8718986511,-4.43306016922
EIDW,46992,53.421299,-6.27007
EBBR,40356,50.9014015198,4.48443984985
EGAA,38008,54.6575012207,-6.21582984924
EGNT,31530,55.037498474121094,-1.6916699409484863
EGGD,30937,51.382702,-2.71909
EGFF,24913,51.39670181274414,-3.343329906463623
EGGW,24592,51.87469863891602,-0.36833301186561584
LEMD,22126,40.471926,-3.56264
EGNX,21791,52.8311004639,-1.32806003094
