airpt_arr,pax2001,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,790059,LEVC,39.4893,-0.481625,40.471926,-3.56264
LEPA,279534,LEVC,39.4893,-0.481625,39.551700591999996,2.73881006241
LEBL,194798,LEVC,39.4893,-0.481625,41.2971,2.0784599999999998
EDDF,130065,LEVC,39.4893,-0.481625,50.033333,8.570556
LFPO,128081,LEVC,39.4893,-0.481625,48.7233333,2.3794444
LIMC,96566,LEVC,39.4893,-0.481625,45.6306,8.728110000000001
EGLL,77536,LEVC,39.4893,-0.481625,51.4706,-0.461941
LEIB,65954,LEVC,39.4893,-0.481625,38.8728981018,1.3731199502899998
EGKK,60929,LEVC,39.4893,-0.481625,51.148102,-0.190278
LEBB,60635,LEVC,39.4893,-0.481625,43.30110168457031,-2.9106099605560303
LEZL,56948,LEVC,39.4893,-0.481625,37.41799926757813,-5.8931097984313965
EBBR,49270,LEVC,39.4893,-0.481625,50.9014015198,4.48443984985
GCTS,45200,LEVC,39.4893,-0.481625,28.044500351,-16.5725002289
LSZH,30942,LEVC,39.4893,-0.481625,47.464698999999996,8.54917
LEMG,21227,LEVC,39.4893,-0.481625,36.67490005493164,-4.499110221862793
