airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,488182,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGKK,482438,LGW,51.148102,-0.190278,London Gatwick Airport
GCLP,448826,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
EGCC,421434,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EIDW,238810,DUB,53.421299,-6.27007,Dublin Airport
GCXO,183881,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
EDDL,142469,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EHAM,136019,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EGBB,134129,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EDDF,122252,FRA,50.033333,8.570556,Frankfurt am Main Airport
EGPF,113464,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EGNX,92751,EMA,52.8311004639,-1.32806003094,East Midlands Airport
GCTS,87012,TFS,28.044500351,-16.5725002289,Tenerife South Airport
EDDH,78109,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
