airpt,value,airpt_lat,airpt_lon
LEMD,1275328,40.471926,-3.56264
GCFV,462840,28.452699661254886,-13.863800048828125
GCRR,453079,28.945498999999998,-13.6052
GCXO,445675,28.4827003479,-16.341499328599998
EGKK,368802,51.148102,-0.190278
EGCC,330101,53.35369873046875,-2.2749500274658203
EHAM,323082,52.308601,4.76389
EDDL,233794,51.289501,6.766780000000001
EDDF,209480,50.033333,8.570556
LEBL,194958,41.2971,2.0784599999999998
EIDW,193919,53.421299,-6.27007
EFHK,173672,60.317199707031,24.963300704956
ESSA,158856,59.651901245116996,17.918600082397
EGBB,150410,52.4538993835,-1.7480299472799998
EDDH,147473,53.630401611328004,9.988229751586902
EDDM,133334,48.353802,11.7861
EDDS,131669,48.6898994446,9.22196006775
EGPF,127186,55.8718986511,-4.43306016922
EDDV,122616,52.461101532,9.68507957458
EKCH,116205,55.617900848389,12.656000137328999
EBBR,109896,50.9014015198,4.48443984985
ESGG,93893,57.662799835205,12.279800415039
LEZL,89065,37.41799926757813,-5.8931097984313965
EDDK,88093,50.865898132299996,7.1427397728
GCLA,86607,28.626499,-17.7556
LSZH,86238,47.464698999999996,8.54917
EKBI,83067,55.7402992249,9.15178012848
EGNX,76856,52.8311004639,-1.32806003094
