airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,500131,GCRR,28.945498999999998,-13.6052,40.471926,-3.56264
EGKK,487736,GCRR,28.945498999999998,-13.6052,51.148102,-0.190278
GCLP,450621,GCRR,28.945498999999998,-13.6052,27.931900024414066,-15.38659954071045
EGCC,416881,GCRR,28.945498999999998,-13.6052,53.35369873046875,-2.2749500274658203
EIDW,259897,GCRR,28.945498999999998,-13.6052,53.421299,-6.27007
GCXO,198591,GCRR,28.945498999999998,-13.6052,28.4827003479,-16.341499328599998
EGBB,150359,GCRR,28.945498999999998,-13.6052,52.4538993835,-1.7480299472799998
EDDL,140480,GCRR,28.945498999999998,-13.6052,51.289501,6.766780000000001
EHAM,137940,GCRR,28.945498999999998,-13.6052,52.308601,4.76389
EGPF,119929,GCRR,28.945498999999998,-13.6052,55.8718986511,-4.43306016922
EDDF,113598,GCRR,28.945498999999998,-13.6052,50.033333,8.570556
LEBL,94632,GCRR,28.945498999999998,-13.6052,41.2971,2.0784599999999998
EGNX,92038,GCRR,28.945498999999998,-13.6052,52.8311004639,-1.32806003094
GCTS,85096,GCRR,28.945498999999998,-13.6052,28.044500351,-16.5725002289
EGSS,78943,GCRR,28.945498999999998,-13.6052,51.8849983215,0.23499999940400002
EDDS,77416,GCRR,28.945498999999998,-13.6052,48.6898994446,9.22196006775
LEBB,76829,GCRR,28.945498999999998,-13.6052,43.30110168457031,-2.9106099605560303
EDDH,76543,GCRR,28.945498999999998,-13.6052,53.630401611328004,9.988229751586902
