airpt_arr,pax2003,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGCC,876045,LEAL,38.28219985961914,-0.5581560134887695,53.35369873046875,-2.2749500274658203
EGKK,849596,LEAL,38.28219985961914,-0.5581560134887695,51.148102,-0.190278
LEMD,711941,LEAL,38.28219985961914,-0.5581560134887695,40.471926,-3.56264
LEBL,331622,LEAL,38.28219985961914,-0.5581560134887695,41.2971,2.0784599999999998
EGBB,325336,LEAL,38.28219985961914,-0.5581560134887695,52.4538993835,-1.7480299472799998
EGNX,313517,LEAL,38.28219985961914,-0.5581560134887695,52.8311004639,-1.32806003094
LEPA,296947,LEAL,38.28219985961914,-0.5581560134887695,39.551700591999996,2.73881006241
EGSS,290051,LEAL,38.28219985961914,-0.5581560134887695,51.8849983215,0.23499999940400002
EGGW,260333,LEAL,38.28219985961914,-0.5581560134887695,51.87469863891602,-0.36833301186561584
EHAM,246497,LEAL,38.28219985961914,-0.5581560134887695,52.308601,4.76389
EGNT,243635,LEAL,38.28219985961914,-0.5581560134887695,55.037498474121094,-1.6916699409484863
EGGD,240554,LEAL,38.28219985961914,-0.5581560134887695,51.382702,-2.71909
EGPF,199081,LEAL,38.28219985961914,-0.5581560134887695,55.8718986511,-4.43306016922
EDDL,190135,LEAL,38.28219985961914,-0.5581560134887695,51.289501,6.766780000000001
EBBR,189290,LEAL,38.28219985961914,-0.5581560134887695,50.9014015198,4.48443984985
ENGM,176999,LEAL,38.28219985961914,-0.5581560134887695,60.193901062011996,11.100399971008
EGFF,163839,LEAL,38.28219985961914,-0.5581560134887695,51.39670181274414,-3.343329906463623
EGGP,158666,LEAL,38.28219985961914,-0.5581560134887695,53.33359909057617,-2.849720001220703
EDDF,143526,LEAL,38.28219985961914,-0.5581560134887695,50.033333,8.570556
EIDW,135427,LEAL,38.28219985961914,-0.5581560134887695,53.421299,-6.27007
EGNM,114733,LEAL,38.28219985961914,-0.5581560134887695,53.86589813232422,-1.6605700254440308
EHRD,97647,LEAL,38.28219985961914,-0.5581560134887695,51.956902,4.43722
EDDM,85134,LEAL,38.28219985961914,-0.5581560134887695,48.353802,11.7861
ESSA,84640,LEAL,38.28219985961914,-0.5581560134887695,59.651901245116996,17.918600082397
EGLL,78485,LEAL,38.28219985961914,-0.5581560134887695,51.4706,-0.461941
