airpt,value,airpt_lat,airpt_lon
LEMD,4143970,40.471926,-3.56264
LEPA,1565884,39.551700591999996,2.73881006241
EHAM,1122706,52.308601,4.76389
EGLL,711774,51.4706,-0.461941
LEZL,668217,37.41799926757813,-5.8931097984313965
LFPG,653077,49.012798,2.55
LEMG,648951,36.67490005493164,-4.499110221862793
EBBR,634583,50.9014015198,4.48443984985
LEIB,583412,38.8728981018,1.3731199502899998
EDDF,543572,50.033333,8.570556
EGKK,524452,51.148102,-0.190278
LEMH,514148,39.86259841918945,4.2186498641967765
LFPO,446518,48.7233333,2.3794444
LEBB,440301,43.30110168457031,-2.9106099605560303
LIRF,434766,41.800277799999996,12.238888900000001
LIMC,362633,45.6306,8.728110000000001
EDDM,345326,48.353802,11.7861
LEAL,330841,38.28219985961914,-0.5581560134887695
LSGG,326258,46.23809814453125,6.108950138092041
EGGW,307036,51.87469863891602,-0.36833301186561584
GCXO,289428,28.4827003479,-16.341499328599998
LPPT,277459,38.7813,-9.13592
LSZH,276443,47.464698999999996,8.54917
EDDL,233752,51.289501,6.766780000000001
LEST,213090,42.89630126953125,-8.415140151977539
EKCH,199811,55.617900848389,12.656000137328999
GCLP,194686,27.931900024414066,-15.38659954071045
EGGP,175601,53.33359909057617,-2.849720001220703
LEVC,174452,39.4893,-0.481625
LEGR,171575,37.18870162963867,-3.777359962463379
EGSS,171022,51.8849983215,0.23499999940400002
EIDW,168592,53.421299,-6.27007
LLBG,166647,32.011398315429695,34.88669967651367
GCTS,164445,28.044500351,-16.5725002289
EGNX,156417,52.8311004639,-1.32806003094
LEAS,156028,43.5635986328125,-6.0346198081970215
LIML,150849,45.445099,9.27674
LIPZ,132672,45.505299,12.3519
LEVX,131761,42.2318000793457,-8.62677001953125
EGBB,120843,52.4538993835,-1.7480299472799998
EDDS,119411,48.6898994446,9.22196006775
LOWW,115101,48.110298156738004,16.569700241089002
EGCC,112755,53.35369873046875,-2.2749500274658203
ESSA,106118,59.651901245116996,17.918600082397
LECO,103480,43.302101,-8.37726
UUDD,97315,55.40879821777344,37.90629959106445
EGGD,95137,51.382702,-2.71909
GCRR,94470,28.945498999999998,-13.6052
KJFK,91489,40.63980103,-73.77890015
UUEE,88504,55.972599,37.4146
EFHK,85066,60.317199707031,24.963300704956
EDDK,79268,50.865898132299996,7.1427397728
EGNT,76734,55.037498474121094,-1.6916699409484863
LESO,76632,43.35649871826172,-1.7906099557876587
LKPR,76607,50.1008,14.26
LEAM,76291,36.84389877319336,-2.3701000213623047
