airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
EGSS,349391,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EDFH,224211,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
LIME,209746,BGY,45.673901,9.70417,Il Caravaggio International Airport
EGKK,87900,LGW,51.148102,-0.190278,London Gatwick Airport
EGCC,81721,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EBCI,70890,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
EGPK,56037,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
EGBB,47332,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGPF,41268,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EBBR,36257,BRU,50.9014015198,4.48443984985,Brussels Airport
EHAM,25919,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EGNX,22160,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGNT,20043,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
