airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
GCLP,540169,GCFV,28.452699661254886,-13.863800048828125,27.931900024414066,-15.38659954071045
LEMD,346701,GCFV,28.452699661254886,-13.863800048828125,40.471926,-3.56264
EGKK,229123,GCFV,28.452699661254886,-13.863800048828125,51.148102,-0.190278
EGCC,224111,GCFV,28.452699661254886,-13.863800048828125,53.35369873046875,-2.2749500274658203
EDDL,220230,GCFV,28.452699661254886,-13.863800048828125,51.289501,6.766780000000001
EDDF,152526,GCFV,28.452699661254886,-13.863800048828125,50.033333,8.570556
GCXO,148919,GCFV,28.452699661254886,-13.863800048828125,28.4827003479,-16.341499328599998
EDDV,119856,GCFV,28.452699661254886,-13.863800048828125,52.461101532,9.68507957458
EDDH,116068,GCFV,28.452699661254886,-13.863800048828125,53.630401611328004,9.988229751586902
EDDS,108365,GCFV,28.452699661254886,-13.863800048828125,48.6898994446,9.22196006775
EHAM,106541,GCFV,28.452699661254886,-13.863800048828125,52.308601,4.76389
EDDM,99616,GCFV,28.452699661254886,-13.863800048828125,48.353802,11.7861
EGBB,87973,GCFV,28.452699661254886,-13.863800048828125,52.4538993835,-1.7480299472799998
EDDK,83967,GCFV,28.452699661254886,-13.863800048828125,50.865898132299996,7.1427397728
EDDN,82959,GCFV,28.452699661254886,-13.863800048828125,49.498699,11.078056
EGNX,65648,GCFV,28.452699661254886,-13.863800048828125,52.8311004639,-1.32806003094
EDDT,62742,GCFV,28.452699661254886,-13.863800048828125,52.5597,13.2877
EIDW,59617,GCFV,28.452699661254886,-13.863800048828125,53.421299,-6.27007
EGPF,50915,GCFV,28.452699661254886,-13.863800048828125,55.8718986511,-4.43306016922
EDDP,49667,GCFV,28.452699661254886,-13.863800048828125,51.423889,12.236388999999999
EDLP,46515,GCFV,28.452699661254886,-13.863800048828125,51.614101409899995,8.616319656369999
EGGD,44958,GCFV,28.452699661254886,-13.863800048828125,51.382702,-2.71909
EBBR,40273,GCFV,28.452699661254886,-13.863800048828125,50.9014015198,4.48443984985
