airpt_arr,pax2004,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGSS,275186,LELC,37.775001525878906,-0.8123890161514282,51.8849983215,0.23499999940400002
EGBB,138673,LELC,37.775001525878906,-0.8123890161514282,52.4538993835,-1.7480299472799998
EGKK,70303,LELC,37.775001525878906,-0.8123890161514282,51.148102,-0.190278
EGNX,67575,LELC,37.775001525878906,-0.8123890161514282,52.8311004639,-1.32806003094
EGNM,61934,LELC,37.775001525878906,-0.8123890161514282,53.86589813232422,-1.6605700254440308
LEMD,53048,LELC,37.775001525878906,-0.8123890161514282,40.471926,-3.56264
EGHI,52059,LELC,37.775001525878906,-0.8123890161514282,50.95029830932617,-1.3567999601364136
EGCC,33737,LELC,37.775001525878906,-0.8123890161514282,53.35369873046875,-2.2749500274658203
ENGM,29389,LELC,37.775001525878906,-0.8123890161514282,60.193901062011996,11.100399971008
EIDW,24857,LELC,37.775001525878906,-0.8123890161514282,53.421299,-6.27007
