airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
GCLP,594852,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEMD,413682,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EDDL,254436,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EGCC,223822,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGKK,203080,LGW,51.148102,-0.190278,London Gatwick Airport
EDDF,186886,FRA,50.033333,8.570556,Frankfurt am Main Airport
GCXO,178919,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
EHAM,121049,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EDDS,117742,STR,48.6898994446,9.22196006775,Stuttgart Airport
EDDV,113285,HAJ,52.461101532,9.68507957458,Hannover Airport
EDDH,109910,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EDDM,106692,MUC,48.353802,11.7861,Munich Airport
EGBB,90075,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EDDK,82967,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
LIMC,77316,MXP,45.6306,8.728110000000001,Malpensa International Airport
EIDW,70621,DUB,53.421299,-6.27007,Dublin Airport
EDDT,69967,TXL,52.5597,13.2877,Berlin-Tegel Airport
EDDN,68725,NUE,49.498699,11.078056,Nuremberg Airport
EGNX,52975,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EDLP,50110,PAD,51.614101409899995,8.616319656369999,Paderborn Lippstadt Airport
EBBR,49417,BRU,50.9014015198,4.48443984985,Brussels Airport
EDDP,48970,LEJ,51.423889,12.236388999999999,Leipzig/Halle Airport
EGPF,47908,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
