airpt_arr,pax2005,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,1388136,GCLP,27.931900024414066,-15.38659954071045,40.471926,-3.56264
GCXO,650998,GCLP,27.931900024414066,-15.38659954071045,28.4827003479,-16.341499328599998
GCFV,582946,GCLP,27.931900024414066,-15.38659954071045,28.452699661254886,-13.863800048828125
GCRR,543532,GCLP,27.931900024414066,-15.38659954071045,28.945498999999998,-13.6052
EGKK,314124,GCLP,27.931900024414066,-15.38659954071045,51.148102,-0.190278
EHAM,300876,GCLP,27.931900024414066,-15.38659954071045,52.308601,4.76389
LEBL,295285,GCLP,27.931900024414066,-15.38659954071045,41.2971,2.0784599999999998
EGCC,293953,GCLP,27.931900024414066,-15.38659954071045,53.35369873046875,-2.2749500274658203
ENGM,243921,GCLP,27.931900024414066,-15.38659954071045,60.193901062011996,11.100399971008
EDDL,214161,GCLP,27.931900024414066,-15.38659954071045,51.289501,6.766780000000001
EDDF,203739,GCLP,27.931900024414066,-15.38659954071045,50.033333,8.570556
EFHK,180474,GCLP,27.931900024414066,-15.38659954071045,60.317199707031,24.963300704956
ESSA,179437,GCLP,27.931900024414066,-15.38659954071045,59.651901245116996,17.918600082397
EIDW,175331,GCLP,27.931900024414066,-15.38659954071045,53.421299,-6.27007
EDDM,149708,GCLP,27.931900024414066,-15.38659954071045,48.353802,11.7861
LEZL,146897,GCLP,27.931900024414066,-15.38659954071045,37.41799926757813,-5.8931097984313965
EKCH,140945,GCLP,27.931900024414066,-15.38659954071045,55.617900848389,12.656000137328999
EDDH,140199,GCLP,27.931900024414066,-15.38659954071045,53.630401611328004,9.988229751586902
EDDS,132270,GCLP,27.931900024414066,-15.38659954071045,48.6898994446,9.22196006775
EGBB,116515,GCLP,27.931900024414066,-15.38659954071045,52.4538993835,-1.7480299472799998
EDDV,112529,GCLP,27.931900024414066,-15.38659954071045,52.461101532,9.68507957458
EGPF,110678,GCLP,27.931900024414066,-15.38659954071045,55.8718986511,-4.43306016922
GCLA,110212,GCLP,27.931900024414066,-15.38659954071045,28.626499,-17.7556
EBBR,99968,GCLP,27.931900024414066,-15.38659954071045,50.9014015198,4.48443984985
EKBI,96681,GCLP,27.931900024414066,-15.38659954071045,55.7402992249,9.15178012848
EDDK,91491,GCLP,27.931900024414066,-15.38659954071045,50.865898132299996,7.1427397728
GCTS,87923,GCLP,27.931900024414066,-15.38659954071045,28.044500351,-16.5725002289
ESGG,83651,GCLP,27.931900024414066,-15.38659954071045,57.662799835205,12.279800415039
EGNX,82566,GCLP,27.931900024414066,-15.38659954071045,52.8311004639,-1.32806003094
LEBB,75945,GCLP,27.931900024414066,-15.38659954071045,43.30110168457031,-2.9106099605560303
