airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,427383,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGSS,206127,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EDFH,112678,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
LEBL,86980,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEPA,56859,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EDDF,48837,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDM,43636,MUC,48.353802,11.7861,Munich Airport
EDDL,41903,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EDDS,36433,STR,48.6898994446,9.22196006775,Stuttgart Airport
EDDH,27823,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EBBR,25161,BRU,50.9014015198,4.48443984985,Brussels Airport
