airpt,value,airpt_lat,airpt_lon
LEBL,4358322,41.2971,2.0784599999999998
LEPA,1639975,39.551700591999996,2.73881006241
LEMG,1399827,36.67490005493164,-4.499110221862793
GCLP,1370859,27.931900024414066,-15.38659954071045
GCXO,1192683,28.4827003479,-16.341499328599998
EGLL,1073266,51.4706,-0.461941
LFPO,964289,48.7233333,2.3794444
LIRF,929700,41.800277799999996,12.238888900000001
LEBB,926348,43.30110168457031,-2.9106099605560303
EHAM,891253,52.308601,4.76389
SAEZ,872787,-34.8222,-58.5358
LFPG,859867,49.012798,2.55
LEVC,829756,39.4893,-0.481625
LEAL,807709,38.28219985961914,-0.5581560134887695
LEST,712957,42.89630126953125,-8.415140151977539
EDDF,709609,50.033333,8.570556
LPPT,688113,38.7813,-9.13592
LEVX,666025,42.2318000793457,-8.62677001953125
EBBR,633705,50.9014015198,4.48443984985
LEAS,625475,43.5635986328125,-6.0346198081970215
LECO,587049,43.302101,-8.37726
LIMC,570870,45.6306,8.728110000000001
MUHA,560286,22.989200592041016,-82.40910339355469
GCRR,552767,28.945498999999998,-13.6052
GCTS,491613,28.044500351,-16.5725002289
MMMX,454127,19.4363,-99.072098
LEZL,452554,37.41799926757813,-5.8931097984313965
LEIB,435694,38.8728981018,1.3731199502899998
EDDM,430908,48.353802,11.7861
KJFK,427143,40.63980103,-73.77890015
LEJR,426577,36.74459838867188,-6.060110092163086
EGKK,406115,51.148102,-0.190278
MDPC,383110,18.567399978599997,-68.36340332030001
LSZH,354912,47.464698999999996,8.54917
GCFV,352033,28.452699661254886,-13.863800048828125
KMIA,346557,25.79319953918457,-80.29060363769531
SVMI,344033,10.601194,-66.991222
LSGG,329849,46.23809814453125,6.108950138092041
LIPZ,304571,45.505299,12.3519
EKCH,304427,55.617900848389,12.656000137328999
MDSD,301510,18.42970085144,-69.668899536133
SPIM,299397,-12.0219,-77.114305
MMUN,287247,21.036500930800003,-86.8770980835
LEGR,282593,37.18870162963867,-3.777359962463379
LGAV,281275,37.9364013672,23.944499969499997
LKPR,264423,50.1008,14.26
EDDT,254087,52.5597,13.2877
LEPP,240000,42.77000045776367,-1.6463299989700315
SBGL,233730,-22.809999465900002,-43.2505569458
SEGU,230052,-2.15741991997,-79.88359832760001
LESO,224404,43.35649871826172,-1.7906099557876587
EIDW,220512,53.421299,-6.27007
SBGR,205285,-23.435556411743164,-46.47305679321289
EDDL,202680,51.289501,6.766780000000001
LLBG,202261,32.011398315429695,34.88669967651367
LIML,201039,45.445099,9.27674
LPPR,196345,41.248100280799996,-8.68138980865
LEXJ,193886,43.427101135253906,-3.82000994682312
LEMH,188436,39.86259841918945,4.2186498641967765
EGGW,185416,51.87469863891602,-0.36833301186561584
LTBA,172771,40.976898,28.8146
LOWW,164462,48.110298156738004,16.569700241089002
LEAM,163573,36.84389877319336,-2.3701000213623047
KEWR,161396,40.69250106811523,-74.168701171875
ESSA,160144,59.651901245116996,17.918600082397
HECA,148105,30.12190055847168,31.40559959411621
KORD,140688,41.9786,-87.9048
LFLL,136337,45.725556,5.081111
KATL,122830,33.6367,-84.428101
SUMU,122473,-34.838402,-56.0308
GMMN,122301,33.36750030517578,-7.589970111846924
MROC,121104,9.993860244750977,-84.20880126953125
FAJS,114135,-26.1392,28.246
EPWA,108704,52.1656990051,20.9671001434
LHBP,108598,47.429759999999995,19.261093
LIPE,106067,44.5354,11.2887
LFBO,104933,43.629101,1.36382
GMMX,100339,31.6068992615,-8.036299705510002
EFHK,96061,60.317199707031,24.963300704956
TJSJ,96038,18.4393997192,-66.0018005371
GOOY,94699,14.739700317382812,-17.49020004272461
EGGP,94610,53.33359909057617,-2.849720001220703
VTBD,92021,13.912599563599999,100.607002258
EDDB,90162,52.380001,13.5225
DTTA,89249,36.85100173950195,10.22719955444336
LFMN,86515,43.658401489300005,7.215869903560001
EDDK,86315,50.865898132299996,7.1427397728
LIME,86251,45.673901,9.70417
EGCC,85846,53.35369873046875,-2.2749500274658203
GCLA,84825,28.626499,-17.7556
EGGD,84333,51.382702,-2.71909
EDDS,80354,48.6898994446,9.22196006775
