airpt,value,airpt_lat,airpt_lon
LEMD,812221,40.471926,-3.56264
LEBL,319735,41.2971,2.0784599999999998
GCTS,133710,28.044500351,-16.5725002289
LEPA,99119,39.551700591999996,2.73881006241
GCLP,81696,27.931900024414066,-15.38659954071045
EGSS,81683,51.8849983215,0.23499999940400002
EGLL,76684,51.4706,-0.461941
GCRR,76218,28.945498999999998,-13.6052
LEBB,42263,43.30110168457031,-2.9106099605560303
LEVC,33241,39.4893,-0.481625
LEZL,33080,37.41799926757813,-5.8931097984313965
GCFV,32049,28.452699661254886,-13.863800048828125
LEMG,26740,36.67490005493164,-4.499110221862793
LEAL,22871,38.28219985961914,-0.5581560134887695
