airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGSS,390390,LEGE,41.901000976999995,2.7605500221,51.8849983215,0.23499999940400002
EBCI,224782,LEGE,41.901000976999995,2.7605500221,50.459202000000005,4.4538199999999994
LIRA,223331,LEGE,41.901000976999995,2.7605500221,41.7994,12.5949
LFOB,216715,LEGE,41.901000976999995,2.7605500221,49.45439910888672,2.1127800941467285
EDFH,205247,LEGE,41.901000976999995,2.7605500221,49.9487,7.263889999999999
LIME,150594,LEGE,41.901000976999995,2.7605500221,45.673901,9.70417
EGNX,123402,LEGE,41.901000976999995,2.7605500221,52.8311004639,-1.32806003094
EHEH,118210,LEGE,41.901000976999995,2.7605500221,51.4500999451,5.374529838559999
EGGP,112688,LEGE,41.901000976999995,2.7605500221,53.33359909057617,-2.849720001220703
EDSB,112655,LEGE,41.901000976999995,2.7605500221,48.7793998718,8.08049964905
EIDW,111970,LEGE,41.901000976999995,2.7605500221,53.421299,-6.27007
LIRP,111566,LEGE,41.901000976999995,2.7605500221,43.683899,10.3927
ZZZZ,111469,LEGE,41.901000976999995,2.7605500221,30.784722,130.270556
ESKN,111358,LEGE,41.901000976999995,2.7605500221,58.78860092163086,16.912200927734375
EGHH,111192,LEGE,41.901000976999995,2.7605500221,50.77999877929688,-1.8424999713897705
EGPK,110315,LEGE,41.901000976999995,2.7605500221,55.5093994140625,-4.586669921875
EDLV,110183,LEGE,41.901000976999995,2.7605500221,51.6024017334,6.14216995239
EGGW,110181,LEGE,41.901000976999995,2.7605500221,51.87469863891602,-0.36833301186561584
LIEA,105472,LEGE,41.901000976999995,2.7605500221,40.632099,8.29077
EGNH,103150,LEGE,41.901000976999995,2.7605500221,53.77170181274414,-3.0286099910736084
LIPH,96573,LEGE,41.901000976999995,2.7605500221,45.648399,12.1944
EHRD,68523,LEGE,41.901000976999995,2.7605500221,51.956902,4.43722
EGCC,63763,LEGE,41.901000976999995,2.7605500221,53.35369873046875,-2.2749500274658203
EINN,58439,LEGE,41.901000976999995,2.7605500221,52.702,-8.92482
