airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,4442400,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEPA,1757290,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
GCLP,1434363,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEMG,1423864,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
GCXO,1170147,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
EGLL,1106467,LHR,51.4706,-0.461941,London Heathrow Airport
LIRF,1093979,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
LFPG,1072356,CDG,49.012798,2.55,Charles de Gaulle International Airport
LFPO,1015552,ORY,48.7233333,2.3794444,Paris-Orly Airport
EHAM,989998,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
LEBB,971494,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
SAEZ,965056,EZE,-34.8222,-58.5358,Ministro Pistarini International Airport
LEVC,882933,VLC,39.4893,-0.481625,Valencia Airport
LEAL,838199,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
LPPT,809591,LIS,38.7813,-9.13592,Humberto Delgado Airport (Lisbon Portela Airport)
EDDF,779505,FRA,50.033333,8.570556,Frankfurt am Main Airport
LIMC,734342,MXP,45.6306,8.728110000000001,Malpensa International Airport
LEST,717272,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
LEVX,700977,VGO,42.2318000793457,-8.62677001953125,Vigo Airport
EBBR,658464,BRU,50.9014015198,4.48443984985,Brussels Airport
LEAS,646339,OVD,43.5635986328125,-6.0346198081970215,Asturias Airport
LECO,642168,LCG,43.302101,-8.37726,A Coruña Airport
GCRR,583067,ACE,28.945498999999998,-13.6052,Lanzarote Airport
EGKK,574342,LGW,51.148102,-0.190278,London Gatwick Airport
MUHA,507722,HAV,22.989200592041016,-82.40910339355469,José Martí International Airport
LEIB,503865,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
MMMX,488002,MEX,19.4363,-99.072098,Licenciado Benito Juarez International Airport
LEJR,485934,XRY,36.74459838867188,-6.060110092163086,Jerez Airport
EDDM,476747,MUC,48.353802,11.7861,Munich Airport
GCTS,475783,TFS,28.044500351,-16.5725002289,Tenerife South Airport
LEZL,469146,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
KJFK,460647,JFK,40.63980103,-73.77890015,John F Kennedy International Airport
LSZH,423468,ZRH,47.464698999999996,8.54917,Zürich Airport
MDPC,399999,PUJ,18.567399978599997,-68.36340332030001,Punta Cana International Airport
MMUN,380685,CUN,21.036500930800003,-86.8770980835,Cancún International Airport
GCFV,369943,FUE,28.452699661254886,-13.863800048828125,Fuerteventura Airport
LSGG,351281,GVA,46.23809814453125,6.108950138092041,Geneva Cointrin International Airport
SPIM,341878,LIM,-12.0219,-77.114305,Jorge Chávez International Airport
KMIA,338095,MIA,25.79319953918457,-80.29060363769531,Miami International Airport
MDSD,331257,SDQ,18.42970085144,-69.668899536133,Las Américas International Airport
SVMI,330667,CCS,10.601194,-66.991222,Simón Bolívar International Airport
LIPZ,323485,VCE,45.505299,12.3519,Venice Marco Polo Airport
LEGR,317389,GRX,37.18870162963867,-3.777359962463379,Federico Garcia Lorca Airport
SBGR,303443,GRU,-23.435556411743164,-46.47305679321289,Guarulhos - Governador André Franco Montoro International Airport
EKCH,295755,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
LGAV,291898,ATH,37.9364013672,23.944499969499997,Eleftherios Venizelos International Airport
EDDL,276518,DUS,51.289501,6.766780000000001,Düsseldorf Airport
LEPP,252158,PNA,42.77000045776367,-1.6463299989700315,Pamplona Airport
LESO,250522,EAS,43.35649871826172,-1.7906099557876587,San Sebastian Airport
LKPR,249114,PRG,50.1008,14.26,Václav Havel Airport Prague
LLBG,246955,TLV,32.011398315429695,34.88669967651367,Ben Gurion International Airport
SEGU,239522,GYE,-2.15741991997,-79.88359832760001,José Joaquín de Olmedo International Airport
EIDW,238508,DUB,53.421299,-6.27007,Dublin Airport
LEMH,218432,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
LIML,216205,LIN,45.445099,9.27674,Milano Linate Airport
LPPR,204672,OPO,41.248100280799996,-8.68138980865,Francisco de Sá Carneiro Airport
LEXJ,203558,SDR,43.427101135253906,-3.82000994682312,Santander Airport
LEAM,203442,LEI,36.84389877319336,-2.3701000213623047,Almería International Airport
EDDT,201572,TXL,52.5597,13.2877,Berlin-Tegel Airport
EGGW,182767,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
LOWW,178040,VIE,48.110298156738004,16.569700241089002,Vienna International Airport
ESSA,176000,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
LTBA,173532,ISL,40.976898,28.8146,Atatürk International Airport
KEWR,152904,EWR,40.69250106811523,-74.168701171875,Newark Liberty International Airport
MROC,147422,SJO,9.993860244750977,-84.20880126953125,Juan Santamaria International Airport
