airpt,value,airpt_lat,airpt_lon
LEMD,318775,40.471926,-3.56264
EGSS,177269,51.8849983215,0.23499999940400002
LEBL,140845,41.2971,2.0784599999999998
EGKK,93487,51.148102,-0.190278
EGCC,88626,53.35369873046875,-2.2749500274658203
EBBR,53498,50.9014015198,4.48443984985
EGBB,47900,52.4538993835,-1.7480299472799998
LEPA,32520,39.551700591999996,2.73881006241
EGGW,32155,51.87469863891602,-0.36833301186561584
EDDL,30582,51.289501,6.766780000000001
EIDW,29589,53.421299,-6.27007
GEML,23458,35.279800415,-2.9562599658999997
EGNM,22493,53.86589813232422,-1.6605700254440308
