airpt_arr,pax2007,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,439082,LEGR,37.18870162963867,-3.777359962463379,40.471926,-3.56264
LEBL,417107,LEGR,37.18870162963867,-3.777359962463379,41.2971,2.0784599999999998
EGSS,128101,LEGR,37.18870162963867,-3.777359962463379,51.8849983215,0.23499999940400002
LEPA,122909,LEGR,37.18870162963867,-3.777359962463379,39.551700591999996,2.73881006241
EGGP,61633,LEGR,37.18870162963867,-3.777359962463379,53.33359909057617,-2.849720001220703
EGKK,52327,LEGR,37.18870162963867,-3.777359962463379,51.148102,-0.190278
LIME,47086,LEGR,37.18870162963867,-3.777359962463379,45.673901,9.70417
EDFH,42900,LEGR,37.18870162963867,-3.777359962463379,49.9487,7.263889999999999
EGNX,41875,LEGR,37.18870162963867,-3.777359962463379,52.8311004639,-1.32806003094
GEML,23241,LEGR,37.18870162963867,-3.777359962463379,35.279800415,-2.9562599658999997
