airpt,value,airpt_lat,airpt_lon
LEMD,612940,40.471926,-3.56264
LEBL,184721,41.2971,2.0784599999999998
EGSS,137397,51.8849983215,0.23499999940400002
EDFH,87059,49.9487,7.263889999999999
LEPA,67140,39.551700591999996,2.73881006241
LEBB,59915,43.30110168457031,-2.9106099605560303
EDDL,52030,51.289501,6.766780000000001
EDDF,50873,50.033333,8.570556
EDDM,41937,48.353802,11.7861
EGCC,38998,53.35369873046875,-2.2749500274658203
EDDS,32010,48.6898994446,9.22196006775
EBBR,25260,50.9014015198,4.48443984985
EDDV,23160,52.461101532,9.68507957458
EDDH,21086,53.630401611328004,9.988229751586902
