airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,1784896,LEPA,39.551700591999996,2.73881006241,41.2971,2.0784599999999998
LEMD,1757964,LEPA,39.551700591999996,2.73881006241,40.471926,-3.56264
EDDL,992451,LEPA,39.551700591999996,2.73881006241,51.289501,6.766780000000001
EGCC,744192,LEPA,39.551700591999996,2.73881006241,53.35369873046875,-2.2749500274658203
EDDK,692329,LEPA,39.551700591999996,2.73881006241,50.865898132299996,7.1427397728
EGKK,685741,LEPA,39.551700591999996,2.73881006241,51.148102,-0.190278
EDDF,680870,LEPA,39.551700591999996,2.73881006241,50.033333,8.570556
EDDH,671480,LEPA,39.551700591999996,2.73881006241,53.630401611328004,9.988229751586902
EDDM,621286,LEPA,39.551700591999996,2.73881006241,48.353802,11.7861
EDDS,606520,LEPA,39.551700591999996,2.73881006241,48.6898994446,9.22196006775
EDDV,534418,LEPA,39.551700591999996,2.73881006241,52.461101532,9.68507957458
LEVC,500849,LEPA,39.551700591999996,2.73881006241,39.4893,-0.481625
EDDT,403771,LEPA,39.551700591999996,2.73881006241,52.5597,13.2877
EDDG,368068,LEPA,39.551700591999996,2.73881006241,52.134601593,7.68483018875
EGBB,366063,LEPA,39.551700591999996,2.73881006241,52.4538993835,-1.7480299472799998
LEAL,364839,LEPA,39.551700591999996,2.73881006241,38.28219985961914,-0.5581560134887695
LEIB,350016,LEPA,39.551700591999996,2.73881006241,38.8728981018,1.3731199502899998
EDLP,338925,LEPA,39.551700591999996,2.73881006241,51.614101409899995,8.616319656369999
EDLW,329100,LEPA,39.551700591999996,2.73881006241,51.518299102799986,7.61223983765
EGSS,323661,LEPA,39.551700591999996,2.73881006241,51.8849983215,0.23499999940400002
LEZL,318758,LEPA,39.551700591999996,2.73881006241,37.41799926757813,-5.8931097984313965
LSZH,314717,LEPA,39.551700591999996,2.73881006241,47.464698999999996,8.54917
EDDN,310808,LEPA,39.551700591999996,2.73881006241,49.498699,11.078056
EGNT,302039,LEPA,39.551700591999996,2.73881006241,55.037498474121094,-1.6916699409484863
EGGW,288009,LEPA,39.551700591999996,2.73881006241,51.87469863891602,-0.36833301186561584
LEMH,277095,LEPA,39.551700591999996,2.73881006241,39.86259841918945,4.2186498641967765
EHAM,275131,LEPA,39.551700591999996,2.73881006241,52.308601,4.76389
EGPF,272817,LEPA,39.551700591999996,2.73881006241,55.8718986511,-4.43306016922
LEMG,266173,LEPA,39.551700591999996,2.73881006241,36.67490005493164,-4.499110221862793
EDDP,242910,LEPA,39.551700591999996,2.73881006241,51.423889,12.236388999999999
EGGP,241667,LEPA,39.551700591999996,2.73881006241,53.33359909057617,-2.849720001220703
EGNX,230811,LEPA,39.551700591999996,2.73881006241,52.8311004639,-1.32806003094
EKCH,222396,LEPA,39.551700591999996,2.73881006241,55.617900848389,12.656000137328999
LEBB,218410,LEPA,39.551700591999996,2.73881006241,43.30110168457031,-2.9106099605560303
EGGD,213350,LEPA,39.551700591999996,2.73881006241,51.382702,-2.71909
EDDB,183246,LEPA,39.551700591999996,2.73881006241,52.380001,13.5225
EIDW,183191,LEPA,39.551700591999996,2.73881006241,53.421299,-6.27007
LOWW,182886,LEPA,39.551700591999996,2.73881006241,48.110298156738004,16.569700241089002
EGFF,171466,LEPA,39.551700591999996,2.73881006241,51.39670181274414,-3.343329906463623
ESSA,171365,LEPA,39.551700591999996,2.73881006241,59.651901245116996,17.918600082397
EDDW,166773,LEPA,39.551700591999996,2.73881006241,53.0475006104,8.78666973114
LEST,164251,LEPA,39.551700591999996,2.73881006241,42.89630126953125,-8.415140151977539
EGNM,156313,LEPA,39.551700591999996,2.73881006241,53.86589813232422,-1.6605700254440308
LPPT,145937,LEPA,39.551700591999996,2.73881006241,38.7813,-9.13592
EGAA,145267,LEPA,39.551700591999996,2.73881006241,54.6575012207,-6.21582984924
EDDC,143159,LEPA,39.551700591999996,2.73881006241,51.1328010559082,13.767200469970705
LPPR,138980,LEPA,39.551700591999996,2.73881006241,41.248100280799996,-8.68138980865
ENGM,133431,LEPA,39.551700591999996,2.73881006241,60.193901062011996,11.100399971008
EGPH,129247,LEPA,39.551700591999996,2.73881006241,55.95000076293945,-3.372499942779541
LEGR,122909,LEPA,39.551700591999996,2.73881006241,37.18870162963867,-3.777359962463379
EBBR,120174,LEPA,39.551700591999996,2.73881006241,50.9014015198,4.48443984985
LEAS,117337,LEPA,39.551700591999996,2.73881006241,43.5635986328125,-6.0346198081970215
EKBI,104816,LEPA,39.551700591999996,2.73881006241,55.7402992249,9.15178012848
LFPO,95718,LEPA,39.551700591999996,2.73881006241,48.7233333,2.3794444
LPFR,89388,LEPA,39.551700591999996,2.73881006241,37.014400482199996,-7.965909957889999
LOWS,84421,LEPA,39.551700591999996,2.73881006241,47.793300628699996,13.0043001175
LFPG,78232,LEPA,39.551700591999996,2.73881006241,49.012798,2.55
LSGG,75992,LEPA,39.551700591999996,2.73881006241,46.23809814453125,6.108950138092041
