airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,1707740,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,1585894,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EDDL,930120,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EDDK,741077,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
EGCC,727563,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGKK,674519,LGW,51.148102,-0.190278,London Gatwick Airport
EDDF,672942,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDH,629284,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EDDS,614465,STR,48.6898994446,9.22196006775,Stuttgart Airport
EDDM,588523,MUC,48.353802,11.7861,Munich Airport
EDDV,511875,HAJ,52.461101532,9.68507957458,Hannover Airport
LEVC,485404,VLC,39.4893,-0.481625,Valencia Airport
EDDT,423932,TXL,52.5597,13.2877,Berlin-Tegel Airport
EDLW,371308,DTM,51.518299102799986,7.61223983765,Dortmund Airport
LEIB,369723,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
EGBB,362166,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
LEZL,357498,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
LEAL,339407,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
EDDG,323417,FMO,52.134601593,7.68483018875,Münster Osnabrück Airport
LSZH,321252,ZRH,47.464698999999996,8.54917,Zürich Airport
EDLP,313368,PAD,51.614101409899995,8.616319656369999,Paderborn Lippstadt Airport
EGSS,303447,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGGW,300877,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
LEMH,289339,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
EGNX,289218,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EDDN,275445,NUE,49.498699,11.078056,Nuremberg Airport
EGNT,272092,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EGPF,267486,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
LEMG,265868,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
EHAM,258173,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EDDP,249572,LEJ,51.423889,12.236388999999999,Leipzig/Halle Airport
LEBB,225267,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
EKCH,224840,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
EDDW,220181,BRE,53.0475006104,8.78666973114,Bremen Airport
EGGP,214415,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EGGD,206522,BRS,51.382702,-2.71909,Bristol Airport
EIDW,196298,DUB,53.421299,-6.27007,Dublin Airport
LFSB,187161,BSL,47.59,7.5291667,EuroAirport Basel-Mulhouse-Freiburg Airport
EGFF,172079,CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
LOWW,168405,VIE,48.110298156738004,16.569700241089002,Vienna International Airport
ESSA,167181,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
EDDB,160233,SXF,52.380001,13.5225,Berlin-Schönefeld Airport
EGNM,158316,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
LEST,154382,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
EGAA,151563,BFS,54.6575012207,-6.21582984924,Belfast International Airport
EDDC,140151,DRS,51.1328010559082,13.767200469970705,Dresden Airport
LPPT,138621,LIS,38.7813,-9.13592,Humberto Delgado Airport (Lisbon Portela Airport)
ENGM,124745,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
LPPR,124707,OPO,41.248100280799996,-8.68138980865,Francisco de Sá Carneiro Airport
LPFR,118533,FAO,37.014400482199996,-7.965909957889999,Faro Airport
EGPH,115701,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
EBBR,110984,BRU,50.9014015198,4.48443984985,Brussels Airport
LFPO,110139,ORY,48.7233333,2.3794444,Paris-Orly Airport
LEAS,109811,OVD,43.5635986328125,-6.0346198081970215,Asturias Airport
LEGR,106129,GRX,37.18870162963867,-3.777359962463379,Federico Garcia Lorca Airport
EDDR,105729,SCN,49.2145996094,7.10950994492,Saarbrücken Airport
EDLV,101177,NRN,51.6024017334,6.14216995239,Weeze Airport
EDFH,91881,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
EKBI,89592,BLL,55.7402992249,9.15178012848,Billund Airport
LOWS,88837,SZG,47.793300628699996,13.0043001175,Salzburg Airport
EGHH,81000,BOH,50.77999877929688,-1.8424999713897705,Bournemouth Airport
LIMC,80224,MXP,45.6306,8.728110000000001,Malpensa International Airport
LEJR,79044,XRY,36.74459838867188,-6.060110092163086,Jerez Airport
