airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,598201,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,298725,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEPA,154382,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
GCTS,94176,TFS,28.044500351,-16.5725002289,Tenerife South Airport
EGSS,89496,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEVC,73102,VLC,39.4893,-0.481625,Valencia Airport
GCLP,64417,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LIRA,61994,CIA,41.7994,12.5949,Ciampino–G. B. Pastine International Airport
GCRR,52785,ACE,28.945498999999998,-13.6052,Lanzarote Airport
LEMG,48153,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LFPG,46010,CDG,49.012798,2.55,Charles de Gaulle International Airport
LEBB,44314,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
GCFV,42661,FUE,28.452699661254886,-13.863800048828125,Fuerteventura Airport
EDFH,42199,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
LEZL,38095,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EGGP,23555,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
