airpt_arr,pax2009,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,2942406,LEBL,41.2971,2.0784599999999998,40.471926,-3.56264
LEPA,1513617,LEBL,41.2971,2.0784599999999998,39.551700591999996,2.73881006241
EHAM,1085371,LEBL,41.2971,2.0784599999999998,52.308601,4.76389
LFPG,1053922,LEBL,41.2971,2.0784599999999998,49.012798,2.55
LEZL,848410,LEBL,41.2971,2.0784599999999998,37.41799926757813,-5.8931097984313965
EGLL,725197,LEBL,41.2971,2.0784599999999998,51.4706,-0.461941
LEIB,709862,LEBL,41.2971,2.0784599999999998,38.8728981018,1.3731199502899998
LIRF,695163,LEBL,41.2971,2.0784599999999998,41.800277799999996,12.238888900000001
LEMH,664822,LEBL,41.2971,2.0784599999999998,39.86259841918945,4.2186498641967765
LEMG,610909,LEBL,41.2971,2.0784599999999998,36.67490005493164,-4.499110221862793
EDDF,594235,LEBL,41.2971,2.0784599999999998,50.033333,8.570556
LFPO,590024,LEBL,41.2971,2.0784599999999998,48.7233333,2.3794444
LEBB,559861,LEBL,41.2971,2.0784599999999998,43.30110168457031,-2.9106099605560303
LIMC,542848,LEBL,41.2971,2.0784599999999998,45.6306,8.728110000000001
EDDM,524226,LEBL,41.2971,2.0784599999999998,48.353802,11.7861
LPPT,476679,LEBL,41.2971,2.0784599999999998,38.7813,-9.13592
EGKK,465304,LEBL,41.2971,2.0784599999999998,51.148102,-0.190278
EBBR,459096,LEBL,41.2971,2.0784599999999998,50.9014015198,4.48443984985
LSGG,371839,LEBL,41.2971,2.0784599999999998,46.23809814453125,6.108950138092041
LSZH,364129,LEBL,41.2971,2.0784599999999998,47.464698999999996,8.54917
LEGR,342462,LEBL,41.2971,2.0784599999999998,37.18870162963867,-3.777359962463379
EKCH,341753,LEBL,41.2971,2.0784599999999998,55.617900848389,12.656000137328999
GCXO,304756,LEBL,41.2971,2.0784599999999998,28.4827003479,-16.341499328599998
LEAL,300032,LEBL,41.2971,2.0784599999999998,38.28219985961914,-0.5581560134887695
GCLP,281640,LEBL,41.2971,2.0784599999999998,27.931900024414066,-15.38659954071045
