airpt_arr,pax2009,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,371549,LEXJ,43.427101135253906,-3.82000994682312,40.471926,-3.56264
EGSS,97745,LEXJ,43.427101135253906,-3.82000994682312,51.8849983215,0.23499999940400002
LIRA,76069,LEXJ,43.427101135253906,-3.82000994682312,41.7994,12.5949
LERS,72976,LEXJ,43.427101135253906,-3.82000994682312,41.14739990234375,1.1671700477600098
LEBL,66808,LEXJ,43.427101135253906,-3.82000994682312,41.2971,2.0784599999999998
LIME,54192,LEXJ,43.427101135253906,-3.82000994682312,45.673901,9.70417
EDFH,35240,LEXJ,43.427101135253906,-3.82000994682312,49.9487,7.263889999999999
LEAL,35035,LEXJ,43.427101135253906,-3.82000994682312,38.28219985961914,-0.5581560134887695
EDLV,33922,LEXJ,43.427101135253906,-3.82000994682312,51.6024017334,6.14216995239
EBCI,24167,LEXJ,43.427101135253906,-3.82000994682312,50.459202000000005,4.4538199999999994
