airpt_arr,pax2010,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,583511,GCRR,28.945498999999998,-13.6052,40.471926,-3.56264
GCLP,534771,GCRR,28.945498999999998,-13.6052,27.931900024414066,-15.38659954071045
EGCC,318410,GCRR,28.945498999999998,-13.6052,53.35369873046875,-2.2749500274658203
EGKK,286393,GCRR,28.945498999999998,-13.6052,51.148102,-0.190278
GCXO,258613,GCRR,28.945498999999998,-13.6052,28.4827003479,-16.341499328599998
EIDW,203600,GCRR,28.945498999999998,-13.6052,53.421299,-6.27007
EGBB,171214,GCRR,28.945498999999998,-13.6052,52.4538993835,-1.7480299472799998
LEBL,149278,GCRR,28.945498999999998,-13.6052,41.2971,2.0784599999999998
LEBB,143355,GCRR,28.945498999999998,-13.6052,43.30110168457031,-2.9106099605560303
EDDL,103622,GCRR,28.945498999999998,-13.6052,51.289501,6.766780000000001
EGGW,94427,GCRR,28.945498999999998,-13.6052,51.87469863891602,-0.36833301186561584
EGNX,94246,GCRR,28.945498999999998,-13.6052,52.8311004639,-1.32806003094
EGAA,82267,GCRR,28.945498999999998,-13.6052,54.6575012207,-6.21582984924
EHAM,81656,GCRR,28.945498999999998,-13.6052,52.308601,4.76389
EGSS,80938,GCRR,28.945498999999998,-13.6052,51.8849983215,0.23499999940400002
EGPF,79643,GCRR,28.945498999999998,-13.6052,55.8718986511,-4.43306016922
EGGD,78968,GCRR,28.945498999999998,-13.6052,51.382702,-2.71909
EGGP,76165,GCRR,28.945498999999998,-13.6052,53.33359909057617,-2.849720001220703
EGNT,71525,GCRR,28.945498999999998,-13.6052,55.037498474121094,-1.6916699409484863
EICK,70491,GCRR,28.945498999999998,-13.6052,51.84130096435547,-8.491109848022461
EDDN,57559,GCRR,28.945498999999998,-13.6052,49.498699,11.078056
LEST,57374,GCRR,28.945498999999998,-13.6052,42.89630126953125,-8.415140151977539
EDDF,55936,GCRR,28.945498999999998,-13.6052,50.033333,8.570556
EGNM,44980,GCRR,28.945498999999998,-13.6052,53.86589813232422,-1.6605700254440308
EDDH,44876,GCRR,28.945498999999998,-13.6052,53.630401611328004,9.988229751586902
