airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
EGKK,910359,LGW,51.148102,-0.190278,London Gatwick Airport
LEBL,694501,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEMD,607565,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EIDW,453621,DUB,53.421299,-6.27007,Dublin Airport
EGCC,400465,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
LFPG,379222,CDG,49.012798,2.55,Charles de Gaulle International Airport
EGSS,378225,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGGP,294684,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EKCH,290177,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
EGBB,283216,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EHAM,278469,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EBBR,272078,BRU,50.9014015198,4.48443984985,Brussels Airport
LEPA,268922,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGGD,252980,BRS,51.382702,-2.71909,Bristol Airport
EGGW,249343,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EGNX,229549,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGNM,195704,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
LSZH,183541,ZRH,47.464698999999996,8.54917,Zürich Airport
EGAA,178545,BFS,54.6575012207,-6.21582984924,Belfast International Airport
LEBB,172867,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
EGLL,167610,LHR,51.4706,-0.461941,London Heathrow Airport
EGNT,165836,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EDDF,164253,FRA,50.033333,8.570556,Frankfurt am Main Airport
EFHK,155526,HEL,60.317199707031,24.963300704956,Helsinki Vantaa Airport
ENGM,152235,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
LIRF,144729,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
GEML,144616,MLN,35.279800415,-2.9562599658999997,Melilla Airport
EDDL,134168,DUS,51.289501,6.766780000000001,Düsseldorf Airport
GCXO,121548,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
EGPF,107482,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
ESSA,106473,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
EICK,105225,ORK,51.84130096435547,-8.491109848022461,Cork Airport
EDDM,104339,MUC,48.353802,11.7861,Munich Airport
LIMC,100861,MXP,45.6306,8.728110000000001,Malpensa International Airport
EDLV,100160,NRN,51.6024017334,6.14216995239,Weeze Airport
GCLP,97797,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
EBCI,97466,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
LEST,93221,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
LSGG,92300,GVA,46.23809814453125,6.108950138092041,Geneva Cointrin International Airport
EDDT,91783,TXL,52.5597,13.2877,Berlin-Tegel Airport
EHRD,89072,RTM,51.956902,4.43722,Rotterdam The Hague Airport
EDDH,88437,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EHEH,85514,EIN,51.4500999451,5.374529838559999,Eindhoven Airport
EGPK,84966,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
LEGE,80135,GRO,41.901000976999995,2.7605500221,Girona Airport
EGPH,79913,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
EGFF,79598,CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
LEVC,76930,VLC,39.4893,-0.481625,Valencia Airport
