airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,761651,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGKK,738846,LGW,51.148102,-0.190278,London Gatwick Airport
EGCC,575026,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGSS,384681,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEPA,373128,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LEBL,361755,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGGP,314295,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EGBB,292864,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGGD,279296,BRS,51.382702,-2.71909,Bristol Airport
EGNX,271526,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGNM,226062,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
EGNT,213484,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EHAM,203901,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EGPF,189798,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
ENGM,185526,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
EGGW,179985,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EIDW,155060,DUB,53.421299,-6.27007,Dublin Airport
EHEH,131006,EIN,51.4500999451,5.374529838559999,Eindhoven Airport
EBCI,125064,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
EBBR,124492,BRU,50.9014015198,4.48443984985,Brussels Airport
EGAA,121730,BFS,54.6575012207,-6.21582984924,Belfast International Airport
LEZL,116811,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EDDL,114373,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EGPH,113381,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
EDLV,99738,NRN,51.6024017334,6.14216995239,Weeze Airport
EHRD,94176,RTM,51.956902,4.43722,Rotterdam The Hague Airport
LEST,92419,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
EGPK,92247,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
ESKN,88183,NYO,58.78860092163086,16.912200927734375,Stockholm Skavsta Airport
LFPO,84793,ORY,48.7233333,2.3794444,Paris-Orly Airport
ENRY,77913,RYG,59.378817000000005,10.785439,"Moss Airport, Rygge"
LFSB,77287,BSL,47.59,7.5291667,EuroAirport Basel-Mulhouse-Freiburg Airport
LFPG,76702,CDG,49.012798,2.55,Charles de Gaulle International Airport
EKCH,76585,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
EGHH,75861,BOH,50.77999877929688,-1.8424999713897705,Bournemouth Airport
ESSA,75291,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
