airpt_arr,pax2012,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,131682,LEGE,41.901000976999995,2.7605500221,40.471926,-3.56264
LIRP,112398,LEGE,41.901000976999995,2.7605500221,43.683899,10.3927
EGCC,109681,LEGE,41.901000976999995,2.7605500221,53.35369873046875,-2.2749500274658203
LIPE,108175,LEGE,41.901000976999995,2.7605500221,44.5354,11.2887
EDLV,98220,LEGE,41.901000976999995,2.7605500221,51.6024017334,6.14216995239
LFOB,92590,LEGE,41.901000976999995,2.7605500221,49.45439910888672,2.1127800941467285
EDFH,91371,LEGE,41.901000976999995,2.7605500221,49.9487,7.263889999999999
EGGD,78488,LEGE,41.901000976999995,2.7605500221,51.382702,-2.71909
LIEA,77767,LEGE,41.901000976999995,2.7605500221,40.632099,8.29077
EHEH,75935,LEGE,41.901000976999995,2.7605500221,51.4500999451,5.374529838559999
EHAM,73577,LEGE,41.901000976999995,2.7605500221,52.308601,4.76389
EGSS,73349,LEGE,41.901000976999995,2.7605500221,51.8849983215,0.23499999940400002
EBCI,72318,LEGE,41.901000976999995,2.7605500221,50.459202000000005,4.4538199999999994
EGGW,72022,LEGE,41.901000976999995,2.7605500221,51.87469863891602,-0.36833301186561584
EDSB,67449,LEGE,41.901000976999995,2.7605500221,48.7793998718,8.08049964905
LIEE,65740,LEGE,41.901000976999995,2.7605500221,39.251499,9.05428
LIPH,65467,LEGE,41.901000976999995,2.7605500221,45.648399,12.1944
GMMX,62478,LEGE,41.901000976999995,2.7605500221,31.6068992615,-8.036299705510002
LEPA,60440,LEGE,41.901000976999995,2.7605500221,39.551700591999996,2.73881006241
EDDW,55167,LEGE,41.901000976999995,2.7605500221,53.0475006104,8.78666973114
EGBB,53370,LEGE,41.901000976999995,2.7605500221,52.4538993835,-1.7480299472799998
EGHH,52720,LEGE,41.901000976999995,2.7605500221,50.77999877929688,-1.8424999713897705
GMFF,52463,LEGE,41.901000976999995,2.7605500221,33.927299499499995,-4.977960109709999
EDDK,47642,LEGE,41.901000976999995,2.7605500221,50.865898132299996,7.1427397728
EIDW,44040,LEGE,41.901000976999995,2.7605500221,53.421299,-6.27007
LICT,42874,LEGE,41.901000976999995,2.7605500221,37.9114,12.488
EKBI,40969,LEGE,41.901000976999995,2.7605500221,55.7402992249,9.15178012848
