airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
EGSS,128708,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGKK,111832,LGW,51.148102,-0.190278,London Gatwick Airport
EGCC,111603,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EIDW,84410,DUB,53.421299,-6.27007,Dublin Airport
EGNM,83442,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
EGNX,79356,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGGW,74909,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EGGD,70331,BRS,51.382702,-2.71909,Bristol Airport
LEMD,68557,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGBB,62950,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGHH,52449,BOH,50.77999877929688,-1.8424999713897705,Bournemouth Airport
EGNT,50972,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EGGP,40565,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EGPH,36162,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
EBCI,33729,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
EGPK,30458,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
EGAA,27873,BFS,54.6575012207,-6.21582984924,Belfast International Airport
