airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,320623,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,126361,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGSS,90784,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEZL,88909,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
LIRA,56479,CIA,41.7994,12.5949,Ciampino–G. B. Pastine International Airport
LEPA,51407,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EBCI,48206,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
LEMG,46071,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LIME,44527,BGY,45.673901,9.70417,Il Caravaggio International Airport
LEVC,37603,VLC,39.4893,-0.481625,Valencia Airport
LFOB,36291,BVA,49.45439910888672,2.1127800941467285,Paris Beauvais Tillé Airport
GCTS,33344,TFS,28.044500351,-16.5725002289,Tenerife South Airport
EDFH,26561,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
GCRR,26184,ACE,28.945498999999998,-13.6052,Lanzarote Airport
GCLP,25953,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
EIDW,20504,DUB,53.421299,-6.27007,Dublin Airport
