airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,606701,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,507979,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EDDF,222525,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDM,209980,MUC,48.353802,11.7861,Munich Airport
LFPG,171781,CDG,49.012798,2.55,Charles de Gaulle International Airport
LEMG,164067,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LEPA,163893,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LEZL,153042,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EGSS,142661,STN,51.8849983215,0.23499999940400002,London Stansted Airport
GCRR,130866,ACE,28.945498999999998,-13.6052,Lanzarote Airport
GCXO,129314,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
EGLL,111986,LHR,51.4706,-0.461941,London Heathrow Airport
EBBR,92787,BRU,50.9014015198,4.48443984985,Brussels Airport
GCLP,90655,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LPPT,80888,LIS,38.7813,-9.13592,Humberto Delgado Airport (Lisbon Portela Airport)
LEAL,73938,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
LEVC,63605,VLC,39.4893,-0.481625,Valencia Airport
LEIB,60915,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
LEMH,55739,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
EDDL,46267,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EGCC,42838,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
LEST,41417,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
LTBA,41303,ISL,40.976898,28.8146,Atatürk International Airport
