airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,813268,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEMD,557118,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEPA,354131,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGKK,249999,LGW,51.148102,-0.190278,London Gatwick Airport
EGCC,242704,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
LEVC,183368,VLC,39.4893,-0.481625,Valencia Airport
LIMC,183146,MXP,45.6306,8.728110000000001,Malpensa International Airport
EGSS,176627,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EHAM,144809,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EGNX,127464,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGBB,122967,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EDDL,111245,DUS,51.289501,6.766780000000001,Düsseldorf Airport
LIME,96381,BGY,45.673901,9.70417,Il Caravaggio International Airport
LIRF,91182,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
EDDF,84628,FRA,50.033333,8.570556,Frankfurt am Main Airport
LFPO,84527,ORY,48.7233333,2.3794444,Paris-Orly Airport
EGNT,77896,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EGPF,76807,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EGNM,75969,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
