airpt_arr,pax2014,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,2204765,LEMD,40.471926,-3.56264,41.2971,2.0784599999999998
LEPA,1283404,LEMD,40.471926,-3.56264,39.551700591999996,2.73881006241
EGLL,1274376,LEMD,40.471926,-3.56264,51.4706,-0.461941
GCLP,1181442,LEMD,40.471926,-3.56264,27.931900024414066,-15.38659954071045
GCXO,1094815,LEMD,40.471926,-3.56264,28.4827003479,-16.341499328599998
LPPT,1027914,LEMD,40.471926,-3.56264,38.7813,-9.13592
LFPO,1023272,LEMD,40.471926,-3.56264,48.7233333,2.3794444
LIRF,976300,LEMD,40.471926,-3.56264,41.800277799999996,12.238888900000001
LFPG,968844,LEMD,40.471926,-3.56264,49.012798,2.55
EDDF,901395,LEMD,40.471926,-3.56264,50.033333,8.570556
EHAM,847957,LEMD,40.471926,-3.56264,52.308601,4.76389
SAEZ,744097,LEMD,40.471926,-3.56264,-34.8222,-58.5358
EDDM,743171,LEMD,40.471926,-3.56264,48.353802,11.7861
EBBR,738182,LEMD,40.471926,-3.56264,50.9014015198,4.48443984985
EGKK,719707,LEMD,40.471926,-3.56264,51.148102,-0.190278
KJFK,701802,LEMD,40.471926,-3.56264,40.63980103,-73.77890015
LEBB,618095,LEMD,40.471926,-3.56264,43.30110168457031,-2.9106099605560303
SBGR,612261,LEMD,40.471926,-3.56264,-23.435556411743164,-46.47305679321289
LEIB,577383,LEMD,40.471926,-3.56264,38.8728981018,1.3731199502899998
SPIM,557858,LEMD,40.471926,-3.56264,-12.0219,-77.114305
MMMX,543740,LEMD,40.471926,-3.56264,19.4363,-99.072098
SKBO,538034,LEMD,40.471926,-3.56264,4.70159,-74.1469
LECO,535046,LEMD,40.471926,-3.56264,43.302101,-8.37726
LIMC,533805,LEMD,40.471926,-3.56264,45.6306,8.728110000000001
LSGG,505102,LEMD,40.471926,-3.56264,46.23809814453125,6.108950138092041
LEST,490636,LEMD,40.471926,-3.56264,42.89630126953125,-8.415140151977539
LSZH,482360,LEMD,40.471926,-3.56264,47.464698999999996,8.54917
KMIA,478620,LEMD,40.471926,-3.56264,25.79319953918457,-80.29060363769531
LEVX,457379,LEMD,40.471926,-3.56264,42.2318000793457,-8.62677001953125
OMDB,418494,LEMD,40.471926,-3.56264,25.252799987800003,55.3643989563
LPPR,395206,LEMD,40.471926,-3.56264,41.248100280799996,-8.68138980865
GCRR,393074,LEMD,40.471926,-3.56264,28.945498999999998,-13.6052
LEAS,392654,LEMD,40.471926,-3.56264,43.5635986328125,-6.0346198081970215
SCEL,391053,LEMD,40.471926,-3.56264,-33.393001556396484,-70.78579711914062
EDDL,377957,LEMD,40.471926,-3.56264,51.289501,6.766780000000001
EIDW,375907,LEMD,40.471926,-3.56264,53.421299,-6.27007
EGSS,370811,LEMD,40.471926,-3.56264,51.8849983215,0.23499999940400002
LTBA,333714,LEMD,40.471926,-3.56264,40.976898,28.8146
LEMG,330827,LEMD,40.471926,-3.56264,36.67490005493164,-4.499110221862793
