airpt,value,airpt_lat,airpt_lon
GCLP,525619,27.931900024414066,-15.38659954071045
EGKK,429238,51.148102,-0.190278
LEMD,405836,40.471926,-3.56264
EGCC,405060,53.35369873046875,-2.2749500274658203
EIDW,309411,53.421299,-6.27007
GCXO,251775,28.4827003479,-16.341499328599998
EGBB,221956,52.4538993835,-1.7480299472799998
EGNX,197591,52.8311004639,-1.32806003094
LEBL,150766,41.2971,2.0784599999999998
EGSS,145000,51.8849983215,0.23499999940400002
EGGD,135633,51.382702,-2.71909
EDDL,134400,51.289501,6.766780000000001
EHAM,124778,52.308601,4.76389
EGPF,119826,55.8718986511,-4.43306016922
EGNM,116335,53.86589813232422,-1.6605700254440308
EGGW,106331,51.87469863891602,-0.36833301186561584
LEBB,105881,43.30110168457031,-2.9106099605560303
EGNT,96778,55.037498474121094,-1.6916699409484863
EICK,89573,51.84130096435547,-8.491109848022461
EGAA,75636,54.6575012207,-6.21582984924
