airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,2251739,LEMD,40.471926,-3.56264,41.2971,2.0784599999999998
LEPA,1411243,LEMD,40.471926,-3.56264,39.551700591999996,2.73881006241
EGLL,1320834,LEMD,40.471926,-3.56264,51.4706,-0.461941
GCLP,1305670,LEMD,40.471926,-3.56264,27.931900024414066,-15.38659954071045
LPPT,1173590,LEMD,40.471926,-3.56264,38.7813,-9.13592
LFPO,1169130,LEMD,40.471926,-3.56264,48.7233333,2.3794444
GCXO,1149454,LEMD,40.471926,-3.56264,28.4827003479,-16.341499328599998
LFPG,1030549,LEMD,40.471926,-3.56264,49.012798,2.55
LIRF,1004712,LEMD,40.471926,-3.56264,41.800277799999996,12.238888900000001
EDDF,992244,LEMD,40.471926,-3.56264,50.033333,8.570556
EGKK,958606,LEMD,40.471926,-3.56264,51.148102,-0.190278
EHAM,936259,LEMD,40.471926,-3.56264,52.308601,4.76389
EDDM,827936,LEMD,40.471926,-3.56264,48.353802,11.7861
EBBR,804494,LEMD,40.471926,-3.56264,50.9014015198,4.48443984985
SAEZ,783393,LEMD,40.471926,-3.56264,-34.8222,-58.5358
KJFK,726614,LEMD,40.471926,-3.56264,40.63980103,-73.77890015
SBGR,679878,LEMD,40.471926,-3.56264,-23.435556411743164,-46.47305679321289
LEBB,669398,LEMD,40.471926,-3.56264,43.30110168457031,-2.9106099605560303
LEIB,667124,LEMD,40.471926,-3.56264,38.8728981018,1.3731199502899998
KMIA,603313,LEMD,40.471926,-3.56264,25.79319953918457,-80.29060363769531
MMMX,598715,LEMD,40.471926,-3.56264,19.4363,-99.072098
LECO,559967,LEMD,40.471926,-3.56264,43.302101,-8.37726
LIMC,550150,LEMD,40.471926,-3.56264,45.6306,8.728110000000001
SKBO,534812,LEMD,40.471926,-3.56264,4.70159,-74.1469
LEST,518834,LEMD,40.471926,-3.56264,42.89630126953125,-8.415140151977539
LSGG,514369,LEMD,40.471926,-3.56264,46.23809814453125,6.108950138092041
LEVX,499710,LEMD,40.471926,-3.56264,42.2318000793457,-8.62677001953125
SPIM,498636,LEMD,40.471926,-3.56264,-12.0219,-77.114305
LSZH,489599,LEMD,40.471926,-3.56264,47.464698999999996,8.54917
LPPR,484462,LEMD,40.471926,-3.56264,41.248100280799996,-8.68138980865
EIDW,475933,LEMD,40.471926,-3.56264,53.421299,-6.27007
OMDB,462112,LEMD,40.471926,-3.56264,25.252799987800003,55.3643989563
EGSS,453980,LEMD,40.471926,-3.56264,51.8849983215,0.23499999940400002
MUHA,426840,LEMD,40.471926,-3.56264,22.989200592041016,-82.40910339355469
GCRR,405836,LEMD,40.471926,-3.56264,28.945498999999998,-13.6052
EDDL,401507,LEMD,40.471926,-3.56264,51.289501,6.766780000000001
SCEL,399006,LEMD,40.471926,-3.56264,-33.393001556396484,-70.78579711914062
LIRA,394032,LEMD,40.471926,-3.56264,41.7994,12.5949
LEAS,373535,LEMD,40.471926,-3.56264,43.5635986328125,-6.0346198081970215
LTBA,358105,LEMD,40.471926,-3.56264,40.976898,28.8146
LROP,354961,LEMD,40.471926,-3.56264,44.5711111,26.085
MDSD,354282,LEMD,40.471926,-3.56264,18.42970085144,-69.668899536133
LEMG,318357,LEMD,40.471926,-3.56264,36.67490005493164,-4.499110221862793
EDDT,317857,LEMD,40.471926,-3.56264,52.5597,13.2877
LLBG,316506,LEMD,40.471926,-3.56264,32.011398315429695,34.88669967651367
MMUN,304697,LEMD,40.471926,-3.56264,21.036500930800003,-86.8770980835
LEVC,300373,LEMD,40.471926,-3.56264,39.4893,-0.481625
LIPZ,284358,LEMD,40.471926,-3.56264,45.505299,12.3519
LOWW,274898,LEMD,40.471926,-3.56264,48.110298156738004,16.569700241089002
EBCI,274505,LEMD,40.471926,-3.56264,50.459202000000005,4.4538199999999994
LEAL,268229,LEMD,40.471926,-3.56264,38.28219985961914,-0.5581560134887695
GCFV,264230,LEMD,40.471926,-3.56264,28.452699661254886,-13.863800048828125
LEZL,264210,LEMD,40.471926,-3.56264,37.41799926757813,-5.8931097984313965
LIPE,259171,LEMD,40.471926,-3.56264,44.5354,11.2887
LIME,256912,LEMD,40.471926,-3.56264,45.673901,9.70417
GMMX,249834,LEMD,40.471926,-3.56264,31.6068992615,-8.036299705510002
EDDB,242900,LEMD,40.471926,-3.56264,52.380001,13.5225
GCTS,238840,LEMD,40.471926,-3.56264,28.044500351,-16.5725002289
EKCH,238184,LEMD,40.471926,-3.56264,55.617900848389,12.656000137328999
MDPC,231890,LEMD,40.471926,-3.56264,18.567399978599997,-68.36340332030001
LEMH,229395,LEMD,40.471926,-3.56264,39.86259841918945,4.2186498641967765
SVMI,228443,LEMD,40.471926,-3.56264,10.601194,-66.991222
LFLL,224869,LEMD,40.471926,-3.56264,45.725556,5.081111
MROC,219448,LEMD,40.471926,-3.56264,9.993860244750977,-84.20880126953125
LEJR,214998,LEMD,40.471926,-3.56264,36.74459838867188,-6.060110092163086
LIML,209220,LEMD,40.471926,-3.56264,45.445099,9.27674
LHBP,203135,LEMD,40.471926,-3.56264,47.429759999999995,19.261093
LEGR,198219,LEMD,40.471926,-3.56264,37.18870162963867,-3.777359962463379
LGAV,197918,LEMD,40.471926,-3.56264,37.9364013672,23.944499969499997
GMMN,188462,LEMD,40.471926,-3.56264,33.36750030517578,-7.589970111846924
SUMU,182060,LEMD,40.471926,-3.56264,-34.838402,-56.0308
LFML,181309,LEMD,40.471926,-3.56264,43.439271921999996,5.22142410278
UUEE,178054,LEMD,40.471926,-3.56264,55.972599,37.4146
KORD,175732,LEMD,40.471926,-3.56264,41.9786,-87.9048
LEAM,175105,LEMD,40.471926,-3.56264,36.84389877319336,-2.3701000213623047
SEGU,174636,LEMD,40.471926,-3.56264,-2.15741991997,-79.88359832760001
LKPR,171771,LEMD,40.471926,-3.56264,50.1008,14.26
LEXJ,171243,LEMD,40.471926,-3.56264,43.427101135253906,-3.82000994682312
MPTO,169828,LEMD,40.471926,-3.56264,9.0713596344,-79.3834991455
GMTT,167127,LEMD,40.471926,-3.56264,35.726898193400004,-5.916890144349999
SBGL,166602,LEMD,40.471926,-3.56264,-22.809999465900002,-43.2505569458
LESO,163725,LEMD,40.471926,-3.56264,43.35649871826172,-1.7906099557876587
EGPH,163044,LEMD,40.471926,-3.56264,55.95000076293945,-3.372499942779541
EDDH,162682,LEMD,40.471926,-3.56264,53.630401611328004,9.988229751586902
SLVR,161111,LEMD,40.471926,-3.56264,-17.6448,-63.135399
EFHK,159429,LEMD,40.471926,-3.56264,60.317199707031,24.963300704956
LFBO,154558,LEMD,40.471926,-3.56264,43.629101,1.36382
LIRP,147999,LEMD,40.471926,-3.56264,43.683899,10.3927
ESSA,143191,LEMD,40.471926,-3.56264,59.651901245116996,17.918600082397
EGGW,140497,LEMD,40.471926,-3.56264,51.87469863891602,-0.36833301186561584
KPHL,140453,LEMD,40.471926,-3.56264,39.87189865112305,-75.24109649658203
LFOB,138028,LEMD,40.471926,-3.56264,49.45439910888672,2.1127800941467285
KDFW,135780,LEMD,40.471926,-3.56264,32.896801,-97.038002
LFMN,133620,LEMD,40.471926,-3.56264,43.658401489300005,7.215869903560001
LEPP,129827,LEMD,40.471926,-3.56264,42.77000045776367,-1.6463299989700315
KATL,127164,LEMD,40.471926,-3.56264,33.6367,-84.428101
SKCL,119137,LEMD,40.471926,-3.56264,3.54322,-76.3816
GOOY,116520,LEMD,40.471926,-3.56264,14.739700317382812,-17.49020004272461
LBSF,113686,LEMD,40.471926,-3.56264,42.696693420410156,23.411436080932614
EPWA,111619,LEMD,40.471926,-3.56264,52.1656990051,20.9671001434
EGCC,110098,LEMD,40.471926,-3.56264,53.35369873046875,-2.2749500274658203
LTFJ,108102,LEMD,40.471926,-3.56264,40.898601532,29.3092002869
EDDK,101938,LEMD,40.471926,-3.56264,50.865898132299996,7.1427397728
LFSB,100084,LEMD,40.471926,-3.56264,47.59,7.5291667
MGGT,99504,LEMD,40.471926,-3.56264,14.5833,-90.527496
LFRS,99181,LEMD,40.471926,-3.56264,47.15319824220001,-1.61073005199
EGGP,96156,LEMD,40.471926,-3.56264,53.33359909057617,-2.849720001220703
KEWR,95541,LEMD,40.471926,-3.56264,40.69250106811523,-74.168701171875
UUDD,94858,LEMD,40.471926,-3.56264,55.40879821777344,37.90629959106445
GEML,91569,LEMD,40.471926,-3.56264,35.279800415,-2.9562599658999997
DAAG,91438,LEMD,40.471926,-3.56264,36.691001892089844,3.215409994125366
EPMO,86973,LEMD,40.471926,-3.56264,52.451099,20.6518
FGSL,84882,LEMD,40.471926,-3.56264,3.7552700042724614,8.708720207214355
GCLA,84411,LEMD,40.471926,-3.56264,28.626499,-17.7556
EGLC,84287,LEMD,40.471926,-3.56264,51.505299,0.055277999999999994
EGGD,81492,LEMD,40.471926,-3.56264,51.382702,-2.71909
LIRQ,81363,LEMD,40.471926,-3.56264,43.810001,11.2051
RKSI,77172,LEMD,40.471926,-3.56264,37.46910095214844,126.45099639892578
KBOS,76427,LEMD,40.471926,-3.56264,42.36429977,-71.00520325
ZBAA,75210,LEMD,40.471926,-3.56264,40.0801010131836,116.58499908447266
