airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
EIDW,104031,DUB,53.421299,-6.27007,Dublin Airport
EGCC,71190,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EHEH,60800,EIN,51.4500999451,5.374529838559999,Eindhoven Airport
EGSS,56647,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGPF,52315,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EBCI,43502,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
EGNT,41443,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EGKK,37551,LGW,51.148102,-0.190278,London Gatwick Airport
EGAA,36690,BFS,54.6575012207,-6.21582984924,Belfast International Airport
EGBB,24641,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGFF,21559,CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
EDFH,20799,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
