airpt,value,airpt_lat,airpt_lon
GCLP,453420,27.931900024414066,-15.38659954071045
EDDL,320111,51.289501,6.766780000000001
LEMD,296666,40.471926,-3.56264
EGKK,280212,51.148102,-0.190278
EGCC,259128,53.35369873046875,-2.2749500274658203
EDDF,215513,50.033333,8.570556
EDDM,177370,48.353802,11.7861
GCXO,175169,28.4827003479,-16.341499328599998
EDDV,169677,52.461101532,9.68507957458
EGBB,158031,52.4538993835,-1.7480299472799998
EDDS,147250,48.6898994446,9.22196006775
EDDH,142578,53.630401611328004,9.988229751586902
LEBL,128786,41.2971,2.0784599999999998
EGSS,118492,51.8849983215,0.23499999940400002
EDDK,116661,50.865898132299996,7.1427397728
EGNX,114678,52.8311004639,-1.32806003094
LFPG,113199,49.012798,2.55
EHAM,113123,52.308601,4.76389
EIDW,84615,53.421299,-6.27007
EDDP,84377,51.423889,12.236388999999999
LIME,81581,45.673901,9.70417
EGGD,75396,51.382702,-2.71909
