airpt_arr,pax2016,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
GCXO,519528,GCLA,28.626499,-17.7556,28.4827003479,-16.341499328599998
LEMD,111012,GCLA,28.626499,-17.7556,40.471926,-3.56264
GCLP,101710,GCLA,28.626499,-17.7556,27.931900024414066,-15.38659954071045
EDDL,48239,GCLA,28.626499,-17.7556,51.289501,6.766780000000001
EHAM,47218,GCLA,28.626499,-17.7556,52.308601,4.76389
EGKK,33185,GCLA,28.626499,-17.7556,51.148102,-0.190278
EDDT,27852,GCLA,28.626499,-17.7556,52.5597,13.2877
EDDF,26094,GCLA,28.626499,-17.7556,50.033333,8.570556
LEBL,26091,GCLA,28.626499,-17.7556,41.2971,2.0784599999999998
EDDM,25694,GCLA,28.626499,-17.7556,48.353802,11.7861
EGCC,21439,GCLA,28.626499,-17.7556,53.35369873046875,-2.2749500274658203
