airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,1305112,GCXO,28.4827003479,-16.341499328599998,40.471926,-3.56264
GCLP,659659,GCXO,28.4827003479,-16.341499328599998,27.931900024414066,-15.38659954071045
GCLA,519528,GCXO,28.4827003479,-16.341499328599998,28.626499,-17.7556
LEBL,495880,GCXO,28.4827003479,-16.341499328599998,41.2971,2.0784599999999998
GCRR,257764,GCXO,28.4827003479,-16.341499328599998,28.945498999999998,-13.6052
GCFV,175169,GCXO,28.4827003479,-16.341499328599998,28.452699661254886,-13.863800048828125
LEZL,146990,GCXO,28.4827003479,-16.341499328599998,37.41799926757813,-5.8931097984313965
LEBB,117690,GCXO,28.4827003479,-16.341499328599998,43.30110168457031,-2.9106099605560303
LEMG,109199,GCXO,28.4827003479,-16.341499328599998,36.67490005493164,-4.499110221862793
LEST,59422,GCXO,28.4827003479,-16.341499328599998,42.89630126953125,-8.415140151977539
