airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEPA,398798,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGKK,340973,LGW,51.148102,-0.190278,London Gatwick Airport
LEMD,311230,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LFPG,310613,CDG,49.012798,2.55,Charles de Gaulle International Airport
LEIB,274887,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
EHAM,262704,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
LSZH,254666,ZRH,47.464698999999996,8.54917,Zürich Airport
LIME,234793,BGY,45.673901,9.70417,Il Caravaggio International Airport
LFPO,219144,ORY,48.7233333,2.3794444,Paris-Orly Airport
EDDF,184461,FRA,50.033333,8.570556,Frankfurt am Main Airport
EBBR,168395,BRU,50.9014015198,4.48443984985,Brussels Airport
LIRF,165971,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
LIPE,141905,BLQ,44.5354,11.2887,Bologna Guglielmo Marconi Airport
EGSS,129648,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LIRA,124332,CIA,41.7994,12.5949,Ciampino–G. B. Pastine International Airport
LROP,118594,OTP,44.5711111,26.085,Henri Coandă International Airport
LEZL,113126,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
LEST,100062,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
LEBB,97231,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
EHEH,84848,EIN,51.4500999451,5.374529838559999,Eindhoven Airport
LTBA,82613,ISL,40.976898,28.8146,Atatürk International Airport
EDFH,77446,HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
EDDL,75714,DUS,51.289501,6.766780000000001,Düsseldorf Airport
