airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
GCXO,610609,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
GCLP,123919,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEMD,118773,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EHAM,54841,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EDDL,49018,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EGKK,45663,LGW,51.148102,-0.190278,London Gatwick Airport
LEBL,27662,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGCC,26614,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EDDF,25758,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDM,22943,MUC,48.353802,11.7861,Munich Airport
