airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
EGCC,890086,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGKK,820071,LGW,51.148102,-0.190278,London Gatwick Airport
EGBB,442664,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGNX,323471,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EGSS,312423,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEMD,291527,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EBBR,283897,BRU,50.9014015198,4.48443984985,Brussels Airport
EHAM,275617,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EGPF,264873,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EGPH,254606,EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
EGNT,250191,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
EDDL,249625,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EGNM,215944,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
EIDW,208474,DUB,53.421299,-6.27007,Dublin Airport
EDDF,197855,FRA,50.033333,8.570556,Frankfurt am Main Airport
EGGD,189341,BRS,51.382702,-2.71909,Bristol Airport
EGGW,187786,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
EDDM,185989,MUC,48.353802,11.7861,Munich Airport
EDDH,176854,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EFHK,160623,HEL,60.317199707031,24.963300704956,Helsinki Vantaa Airport
EBCI,155205,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
EDDK,145580,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
EDDB,138486,SXF,52.380001,13.5225,Berlin-Schönefeld Airport
EKCH,130704,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
ESSA,127019,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
EGAA,126719,BFS,54.6575012207,-6.21582984924,Belfast International Airport
EDDV,125538,HAJ,52.461101532,9.68507957458,Hannover Airport
LEBL,117478,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LSZH,116466,ZRH,47.464698999999996,8.54917,Zürich Airport
ENGM,113368,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
LIME,113100,BGY,45.673901,9.70417,Il Caravaggio International Airport
EDDS,108615,STR,48.6898994446,9.22196006775,Stuttgart Airport
UUEE,101547,SVO,55.972599,37.4146,Sheremetyevo International Airport
EGPK,93427,PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
EGFF,89178,CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
LEST,88735,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
EDDT,82648,TXL,52.5597,13.2877,Berlin-Tegel Airport
LIMC,81731,MXP,45.6306,8.728110000000001,Malpensa International Airport
ESGG,81377,GOT,57.662799835205,12.279800415039,Gothenburg-Landvetter Airport
LEMG,79510,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
EPKT,77878,KTW,50.4743,19.08,Katowice International Airport
