airpt,value,airpt_lat,airpt_lon
LEMD,479565,40.471926,-3.56264
LEBL,272853,41.2971,2.0784599999999998
LEPA,83021,39.551700591999996,2.73881006241
EGSS,76057,51.8849983215,0.23499999940400002
LEMG,73813,36.67490005493164,-4.499110221862793
LEZL,43101,37.41799926757813,-5.8931097984313965
LEAL,41055,38.28219985961914,-0.5581560134887695
EGKK,38807,51.148102,-0.190278
GCXO,36478,28.4827003479,-16.341499328599998
EGLL,35863,51.4706,-0.461941
LFPG,35035,49.012798,2.55
LPPT,28972,38.7813,-9.13592
LEVC,28654,39.4893,-0.481625
GCRR,24312,28.945498999999998,-13.6052
LEIB,20311,38.8728981018,1.3731199502899998
