airpt,value,airpt_lat,airpt_lon
LEMD,1487327,40.471926,-3.56264
GCLP,987527,27.931900024414066,-15.38659954071045
GCLA,728096,28.626499,-17.7556
LEBL,593010,41.2971,2.0784599999999998
GCRR,373417,28.945498999999998,-13.6052
GCFV,281720,28.452699661254886,-13.863800048828125
LEZL,210028,37.41799926757813,-5.8931097984313965
LEBB,157794,43.30110168457031,-2.9106099605560303
LEMG,118959,36.67490005493164,-4.499110221862793
GCHI,100424,27.814800262451172,-17.887100219726562
LEAL,75798,38.28219985961914,-0.5581560134887695
