airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGKK,804569,LEAL,38.28219985961914,-0.5581560134887695,51.148102,-0.190278
EGCC,755609,LEAL,38.28219985961914,-0.5581560134887695,53.35369873046875,-2.2749500274658203
EHAM,433307,LEAL,38.28219985961914,-0.5581560134887695,52.308601,4.76389
EGSS,413527,LEAL,38.28219985961914,-0.5581560134887695,51.8849983215,0.23499999940400002
LEBL,412651,LEAL,38.28219985961914,-0.5581560134887695,41.2971,2.0784599999999998
EGNX,405431,LEAL,38.28219985961914,-0.5581560134887695,52.8311004639,-1.32806003094
ENGM,382933,LEAL,38.28219985961914,-0.5581560134887695,60.193901062011996,11.100399971008
EGNT,370394,LEAL,38.28219985961914,-0.5581560134887695,55.037498474121094,-1.6916699409484863
EBBR,368831,LEAL,38.28219985961914,-0.5581560134887695,50.9014015198,4.48443984985
EGBB,360117,LEAL,38.28219985961914,-0.5581560134887695,52.4538993835,-1.7480299472799998
EGGD,342336,LEAL,38.28219985961914,-0.5581560134887695,51.382702,-2.71909
EGNM,321450,LEAL,38.28219985961914,-0.5581560134887695,53.86589813232422,-1.6605700254440308
LEMD,300370,LEAL,38.28219985961914,-0.5581560134887695,40.471926,-3.56264
EGPF,296821,LEAL,38.28219985961914,-0.5581560134887695,55.8718986511,-4.43306016922
EGGP,288992,LEAL,38.28219985961914,-0.5581560134887695,53.33359909057617,-2.849720001220703
ESSA,275765,LEAL,38.28219985961914,-0.5581560134887695,59.651901245116996,17.918600082397
EHEH,275631,LEAL,38.28219985961914,-0.5581560134887695,51.4500999451,5.374529838559999
LEPA,268543,LEAL,38.28219985961914,-0.5581560134887695,39.551700591999996,2.73881006241
EKCH,265122,LEAL,38.28219985961914,-0.5581560134887695,55.617900848389,12.656000137328999
EIDW,254496,LEAL,38.28219985961914,-0.5581560134887695,53.421299,-6.27007
EGAA,244616,LEAL,38.28219985961914,-0.5581560134887695,54.6575012207,-6.21582984924
LFPO,243126,LEAL,38.28219985961914,-0.5581560134887695,48.7233333,2.3794444
EGGW,211435,LEAL,38.28219985961914,-0.5581560134887695,51.87469863891602,-0.36833301186561584
EGPH,209742,LEAL,38.28219985961914,-0.5581560134887695,55.95000076293945,-3.372499942779541
EBCI,181447,LEAL,38.28219985961914,-0.5581560134887695,50.459202000000005,4.4538199999999994
EFHK,175910,LEAL,38.28219985961914,-0.5581560134887695,60.317199707031,24.963300704956
EDDL,168304,LEAL,38.28219985961914,-0.5581560134887695,51.289501,6.766780000000001
EHRD,153260,LEAL,38.28219985961914,-0.5581560134887695,51.956902,4.43722
UUDD,145595,LEAL,38.28219985961914,-0.5581560134887695,55.40879821777344,37.90629959106445
ESGG,138953,LEAL,38.28219985961914,-0.5581560134887695,57.662799835205,12.279800415039
EDDF,137122,LEAL,38.28219985961914,-0.5581560134887695,50.033333,8.570556
LEBB,134058,LEAL,38.28219985961914,-0.5581560134887695,43.30110168457031,-2.9106099605560303
DAOO,128143,LEAL,38.28219985961914,-0.5581560134887695,35.6239013672,-0.6211829781529999
DAAG,123416,LEAL,38.28219985961914,-0.5581560134887695,36.691001892089844,3.215409994125366
LEST,122532,LEAL,38.28219985961914,-0.5581560134887695,42.89630126953125,-8.415140151977539
ENTO,113470,LEAL,38.28219985961914,-0.5581560134887695,59.1866989136,10.258600235
LFSB,111441,LEAL,38.28219985961914,-0.5581560134887695,47.59,7.5291667
EGMC,111198,LEAL,38.28219985961914,-0.5581560134887695,51.5713996887207,0.6955559849739075
LIRF,110580,LEAL,38.28219985961914,-0.5581560134887695,41.800277799999996,12.238888900000001
LSGG,110255,LEAL,38.28219985961914,-0.5581560134887695,46.23809814453125,6.108950138092041
ESKN,107597,LEAL,38.28219985961914,-0.5581560134887695,58.78860092163086,16.912200927734375
EGFF,104383,LEAL,38.28219985961914,-0.5581560134887695,51.39670181274414,-3.343329906463623
BIKF,103029,LEAL,38.28219985961914,-0.5581560134887695,63.985000610352,-22.605600357055998
LIMC,93819,LEAL,38.28219985961914,-0.5581560134887695,45.6306,8.728110000000001
EDLV,90952,LEAL,38.28219985961914,-0.5581560134887695,51.6024017334,6.14216995239
ENBR,87442,LEAL,38.28219985961914,-0.5581560134887695,60.29339981,5.218140125
LEIB,86898,LEAL,38.28219985961914,-0.5581560134887695,38.8728981018,1.3731199502899998
LIME,76946,LEAL,38.28219985961914,-0.5581560134887695,45.673901,9.70417
UUEE,76853,LEAL,38.28219985961914,-0.5581560134887695,55.972599,37.4146
GCXO,75798,LEAL,38.28219985961914,-0.5581560134887695,28.4827003479,-16.341499328599998
