airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,487006,LEAS,43.5635986328125,-6.0346198081970215,40.471926,-3.56264
LEBL,273181,LEAS,43.5635986328125,-6.0346198081970215,41.2971,2.0784599999999998
LEMG,84924,LEAS,43.5635986328125,-6.0346198081970215,36.67490005493164,-4.499110221862793
LEPA,81832,LEAS,43.5635986328125,-6.0346198081970215,39.551700591999996,2.73881006241
LEZL,49765,LEAS,43.5635986328125,-6.0346198081970215,37.41799926757813,-5.8931097984313965
EGSS,46563,LEAS,43.5635986328125,-6.0346198081970215,51.8849983215,0.23499999940400002
LEAL,45867,LEAS,43.5635986328125,-6.0346198081970215,38.28219985961914,-0.5581560134887695
LEVC,42544,LEAS,43.5635986328125,-6.0346198081970215,39.4893,-0.481625
GCXO,40017,LEAS,43.5635986328125,-6.0346198081970215,28.4827003479,-16.341499328599998
EGKK,34421,LEAS,43.5635986328125,-6.0346198081970215,51.148102,-0.190278
LFPG,27806,LEAS,43.5635986328125,-6.0346198081970215,49.012798,2.55
LPPT,27165,LEAS,43.5635986328125,-6.0346198081970215,38.7813,-9.13592
GCRR,25168,LEAS,43.5635986328125,-6.0346198081970215,28.945498999999998,-13.6052
GCTS,24080,LEAS,43.5635986328125,-6.0346198081970215,28.044500351,-16.5725002289
LEIB,20142,LEAS,43.5635986328125,-6.0346198081970215,38.8728981018,1.3731199502899998
