airpt_arr,pax2018,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,1175267,LEIB,38.8728981018,1.3731199502899998,41.2971,2.0784599999999998
LEMD,803270,LEIB,38.8728981018,1.3731199502899998,40.471926,-3.56264
LEPA,518008,LEIB,38.8728981018,1.3731199502899998,39.551700591999996,2.73881006241
EHAM,326597,LEIB,38.8728981018,1.3731199502899998,52.308601,4.76389
LEVC,314945,LEIB,38.8728981018,1.3731199502899998,39.4893,-0.481625
EGCC,302353,LEIB,38.8728981018,1.3731199502899998,53.35369873046875,-2.2749500274658203
EGKK,287095,LEIB,38.8728981018,1.3731199502899998,51.148102,-0.190278
EGSS,282517,LEIB,38.8728981018,1.3731199502899998,51.8849983215,0.23499999940400002
LIMC,225791,LEIB,38.8728981018,1.3731199502899998,45.6306,8.728110000000001
LIRF,190077,LEIB,38.8728981018,1.3731199502899998,41.800277799999996,12.238888900000001
LFPO,178709,LEIB,38.8728981018,1.3731199502899998,48.7233333,2.3794444
LIME,166367,LEIB,38.8728981018,1.3731199502899998,45.673901,9.70417
EHEH,166187,LEIB,38.8728981018,1.3731199502899998,51.4500999451,5.374529838559999
EDDL,151623,LEIB,38.8728981018,1.3731199502899998,51.289501,6.766780000000001
EGBB,143793,LEIB,38.8728981018,1.3731199502899998,52.4538993835,-1.7480299472799998
LEMG,133543,LEIB,38.8728981018,1.3731199502899998,36.67490005493164,-4.499110221862793
EGNX,103250,LEIB,38.8728981018,1.3731199502899998,52.8311004639,-1.32806003094
EDDM,97644,LEIB,38.8728981018,1.3731199502899998,48.353802,11.7861
EGGD,97317,LEIB,38.8728981018,1.3731199502899998,51.382702,-2.71909
LEBB,95570,LEIB,38.8728981018,1.3731199502899998,43.30110168457031,-2.9106099605560303
EGNM,95409,LEIB,38.8728981018,1.3731199502899998,53.86589813232422,-1.6605700254440308
EGGW,95317,LEIB,38.8728981018,1.3731199502899998,51.87469863891602,-0.36833301186561584
EDDF,95296,LEIB,38.8728981018,1.3731199502899998,50.033333,8.570556
EGLC,87765,LEIB,38.8728981018,1.3731199502899998,51.505299,0.055277999999999994
LEAL,86898,LEIB,38.8728981018,1.3731199502899998,38.28219985961914,-0.5581560134887695
LIPE,86539,LEIB,38.8728981018,1.3731199502899998,44.5354,11.2887
EGNT,85351,LEIB,38.8728981018,1.3731199502899998,55.037498474121094,-1.6916699409484863
LEZL,84417,LEIB,38.8728981018,1.3731199502899998,37.41799926757813,-5.8931097984313965
EHRD,82674,LEIB,38.8728981018,1.3731199502899998,51.956902,4.43722
EGPF,79572,LEIB,38.8728981018,1.3731199502899998,55.8718986511,-4.43306016922
LSZH,75142,LEIB,38.8728981018,1.3731199502899998,47.464698999999996,8.54917
