airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,807474,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEPA,361000,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LEMD,278552,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGKK,248137,LGW,51.148102,-0.190278,London Gatwick Airport
EGCC,156828,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGBB,90573,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
LIMC,86397,MXP,45.6306,8.728110000000001,Malpensa International Airport
EGNX,85790,EMA,52.8311004639,-1.32806003094,East Midlands Airport
LEBB,84316,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
EGSS,83344,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EGGD,67474,BRS,51.382702,-2.71909,Bristol Airport
EGGW,60270,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
LEVC,46947,VLC,39.4893,-0.481625,Valencia Airport
EGNM,43163,LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
EGNT,41736,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
