airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,257130,LEXJ,43.427101135253906,-3.82000994682312,40.471926,-3.56264
LEBL,168542,LEXJ,43.427101135253906,-3.82000994682312,41.2971,2.0784599999999998
EGSS,82353,LEXJ,43.427101135253906,-3.82000994682312,51.8849983215,0.23499999940400002
LIRA,72924,LEXJ,43.427101135253906,-3.82000994682312,41.7994,12.5949
EBCI,71119,LEXJ,43.427101135253906,-3.82000994682312,50.459202000000005,4.4538199999999994
LEMG,51490,LEXJ,43.427101135253906,-3.82000994682312,36.67490005493164,-4.499110221862793
LEVC,50821,LEXJ,43.427101135253906,-3.82000994682312,39.4893,-0.481625
EDDB,47528,LEXJ,43.427101135253906,-3.82000994682312,52.380001,13.5225
GMMX,35373,LEXJ,43.427101135253906,-3.82000994682312,31.6068992615,-8.036299705510002
EGPH,33943,LEXJ,43.427101135253906,-3.82000994682312,55.95000076293945,-3.372499942779541
EIDW,33223,LEXJ,43.427101135253906,-3.82000994682312,53.421299,-6.27007
LHBP,27900,LEXJ,43.427101135253906,-3.82000994682312,47.429759999999995,19.261093
EPWA,24593,LEXJ,43.427101135253906,-3.82000994682312,52.1656990051,20.9671001434
GCTS,24310,LEXJ,43.427101135253906,-3.82000994682312,28.044500351,-16.5725002289
LEZL,23050,LEXJ,43.427101135253906,-3.82000994682312,37.41799926757813,-5.8931097984313965
LEPA,21640,LEXJ,43.427101135253906,-3.82000994682312,39.551700591999996,2.73881006241
LIME,21331,LEXJ,43.427101135253906,-3.82000994682312,45.673901,9.70417
