airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
EGSS,87890,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEPA,82944,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LIME,61502,BGY,45.673901,9.70417,Il Caravaggio International Airport
LRCL,43198,CLJ,46.78519821166992,23.686199188232425,Cluj-Napoca International Airport
LROP,42629,OTP,44.5711111,26.085,Henri Coandă International Airport
EBCI,34820,CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
LFOB,20738,BVA,49.45439910888672,2.1127800941467285,Paris Beauvais Tillé Airport
LEIB,19522,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
GCTS,18686,TFS,28.044500351,-16.5725002289,Tenerife South Airport
LEMH,16426,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
