airpt_arr,pax2018,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,2467768,LEMD,40.471926,-3.56264,41.2971,2.0784599999999998
LEPA,1967280,LEMD,40.471926,-3.56264,39.551700591999996,2.73881006241
GCLP,1616565,LEMD,40.471926,-3.56264,27.931900024414066,-15.38659954071045
LPPT,1517692,LEMD,40.471926,-3.56264,38.7813,-9.13592
GCXO,1487327,LEMD,40.471926,-3.56264,28.4827003479,-16.341499328599998
EGLL,1416801,LEMD,40.471926,-3.56264,51.4706,-0.461941
LFPO,1331513,LEMD,40.471926,-3.56264,48.7233333,2.3794444
LIRF,1219134,LEMD,40.471926,-3.56264,41.800277799999996,12.238888900000001
LFPG,1140737,LEMD,40.471926,-3.56264,49.012798,2.55
EDDF,1084216,LEMD,40.471926,-3.56264,50.033333,8.570556
EHAM,1040785,LEMD,40.471926,-3.56264,52.308601,4.76389
EGKK,1029019,LEMD,40.471926,-3.56264,51.148102,-0.190278
EBBR,1010188,LEMD,40.471926,-3.56264,50.9014015198,4.48443984985
SKBO,883319,LEMD,40.471926,-3.56264,4.70159,-74.1469
SAEZ,866154,LEMD,40.471926,-3.56264,-34.8222,-58.5358
EDDM,860496,LEMD,40.471926,-3.56264,48.353802,11.7861
KJFK,850995,LEMD,40.471926,-3.56264,40.63980103,-73.77890015
LEBB,810426,LEMD,40.471926,-3.56264,43.30110168457031,-2.9106099605560303
LEIB,803270,LEMD,40.471926,-3.56264,38.8728981018,1.3731199502899998
MMMX,782073,LEMD,40.471926,-3.56264,19.4363,-99.072098
LPPR,756967,LEMD,40.471926,-3.56264,41.248100280799996,-8.68138980865
KMIA,708340,LEMD,40.471926,-3.56264,25.79319953918457,-80.29060363769531
LEST,669730,LEMD,40.471926,-3.56264,42.89630126953125,-8.415140151977539
LEVX,664206,LEMD,40.471926,-3.56264,42.2318000793457,-8.62677001953125
LECO,647139,LEMD,40.471926,-3.56264,43.302101,-8.37726
LSZH,643319,LEMD,40.471926,-3.56264,47.464698999999996,8.54917
SBGR,604012,LEMD,40.471926,-3.56264,-23.435556411743164,-46.47305679321289
LSGG,575145,LEMD,40.471926,-3.56264,46.23809814453125,6.108950138092041
