timeperiod,pax,flights
2001M01,7667355,90957
2001M02,7900824,85262
2001M03,9688702,97432
2001M04,10763163,102825
2001M05,11155696,109337
2001M06,11904368,109034
2001M07,12801336,116136
2001M08,13111910,115325
2001M09,12584805,113120
2001M10,11041805,108634
2001M11,8207178,86176
2001M12,7573330,82355
2002M01,7227236,84898
2002M02,7719995,80402
2002M03,9704302,92258
2002M04,9756572,96074
2002M05,10672799,104287
2002M06,11271918,102223
2002M07,12353736,110887
2002M08,13070115,112340
2002M09,12130891,106562
2002M10,11136921,104213
2002M11,8558031,92046
2002M12,8020384,90785
2003M01,7946605,89245
2003M02,8213559,84014
2003M03,9713002,95543
2003M04,10746493,100749
2003M05,11576396,108356
2003M06,12338397,109179
2003M07,13463916,118278
2003M08,14539504,120956
2003M09,12854245,113815
2003M10,12095912,111078
2003M11,9403949,98215
2003M12,8796931,94782
2004M01,8578786,98077
2004M02,9542993,97130
2004M03,10804149,108085
2004M04,11517288,110169
2004M05,12478271,118314
2004M06,13179130,118608
2004M07,14568177,126333
2004M08,15214717,129401
2004M09,13742864,122291
2004M10,13280752,121016
2004M11,10031318,105980
2004M12,9596134,104193
2005M01,9627535,106897
2005M02,10034278,103176
2005M03,12351351,117610
2005M04,12503224,120304
2005M05,14134807,128955
2005M06,14581579,129611
2005M07,16914391,140699
2005M08,17249386,138880
2005M09,15888655,133443
2005M10,14946816,130511
2005M11,11590889,115067
2005M12,10969120,113243
2006M01,10375467,115922
2006M02,10596336,110293
2006M03,12773602,124956
2006M04,14226420,126120
2006M05,15117509,136837
2006M06,15850432,137361
2006M07,17052800,142774
2006M08,17375724,144169
2006M09,16286890,135215
2006M10,15497058,135406
2006M11,12064205,123078
2006M12,11639921,117973
2007M01,11129362,121854
2007M02,11659285,115774
2007M03,14263419,132847
2007M04,15113642,135628
2007M05,16101220,149212
2007M06,17169759,147693
2007M07,19042174,156638
2007M08,19174468,154081
2007M09,17785200,149366
2007M10,16698496,147696
2007M11,13178298,129504
2007M12,12325405,125161
2008M01,11633727,124501
2008M02,12453632,123027
2008M03,14857590,135124
2008M04,14582851,137272
2008M05,16141013,143967
2008M06,16583613,145450
2008M07,18127679,152270
2008M08,18346993,147012
2008M09,15973880,140870
2008M10,14703036,137386
2008M11,11239812,113832
2008M12,10725381,109685
2009M01,9616980,104481
2009M02,10217805,102717
2009M03,12204941,117328
2009M04,13902883,122756
2009M05,14335423,128416
2009M06,15297838,128822
2009M07,17433956,138394
2009M08,17590693,135439
2009M09,15360236,128783
2009M10,14415203,126699
2009M11,11158102,108262
2009M12,10944905,104987
2010M01,10081053,102731
2010M02,10458833,99159
2010M03,12915829,116337
2010M04,12670404,115925
2010M05,14647748,128382
2010M06,15665233,131692
2010M07,17767679,139829
2010M08,17968257,135145
2010M09,15992117,128976
2010M10,15449763,130164
2010M11,11651258,109193
2010M12,10612562,100673
2011M01,10628153,105401
2011M02,10803530,102531
2011M03,13348776,120567
2011M04,15056428,126860
2011M05,15480581,133983
2011M06,16549583,135435
2011M07,18855181,143979
2011M08,18934040,140745
2011M09,17218737,136495
2011M10,15804811,132029
2011M11,11618016,105575
2011M12,11271186,102376
2012M01,10261311,98120
2012M02,10122912,91755
2012M03,12381665,106611
2012M04,13891089,112691
2012M05,14811112,121842
2012M06,16213678,124666
2012M07,18187174,133140
2012M08,18069396,130205
2012M09,16385764,123923
2012M10,14613631,116399
2012M11,10437637,89442
2012M12,10016186,87169
2013M01,9426283,84669
2013M02,9198776,78426
2013M03,11688063,94321
2013M04,12843136,104244
2013M05,14524418,114079
2013M06,15583365,115272
2013M07,17338158,125218
2013M08,17544473,123286
2013M09,15932989,116105
2013M10,14486389,111402
2013M11,10677261,89403
2013M12,10269802,87240
2014M01,9582979,84884
2014M02,9468674,79561
2014M03,11808285,94583
2014M04,14155587,110841
2014M05,15181231,119693
2014M06,16450922,122922
2014M07,18152753,132542
2014M08,18746791,131705
2014M09,16921413,122552
2014M10,15465076,116905
2014M11,11148012,91181
2014M12,10816379,89277
2015M01,10121663,86474
2015M02,10108930,82181
2015M03,12699652,97391
2015M04,14715439,112915
2015M05,16308025,123472
2015M06,17239020,126275
2015M07,19421145,136893
2015M08,19850118,136057
2015M09,17954640,125951
2015M10,16753375,121110
2015M11,12206354,96067
2015M12,11700890,94540
2016M01,11352662,92638
2016M02,11767896,91468
2016M03,14508881,107996
2016M04,15779193,118183
2016M05,18338332,131960
2016M06,19334773,135406
2016M07,21697409,147263
2016M08,21653203,146268
2016M09,20009770,137695
2016M10,18830021,131090
2016M11,13415484,101967
2016M12,13166996,100894
2017M01,12517697,98989
2017M02,12372118,93913
2017M03,15242965,112110
2017M04,18429276,128710
2017M05,19669493,139972
2017M06,21203112,145153
2017M07,23334443,155496
2017M08,23050761,152795
2017M09,21530375,146141
2017M10,19906960,139944
2017M11,14513093,110602
2017M12,14207954,109027
2018M01,13641818,107764
2018M02,13496055,101592
2018M03,16835468,122877
2018M04,19115814,136847
2018M05,20993627,148427
2018M06,22382388,154045
2018M07,24382120,164679
2018M08,24144274,162237
2018M09,22699547,157042
2018M10,21390829,152234
2018M11,15666563,119059
2018M12,15464710,119235
