timeperiod,pax,flights
2001M01,216654,1748
2001M02,203792,1602
2001M03,249019,1821
2001M04,246279,1866
2001M05,206844,1688
2001M06,211354,1632
2001M07,243496,2026
2001M08,256261,2014
2001M09,244239,2007
2001M10,249161,1924
2001M11,231695,1773
2001M12,214282,1934
2002M01,202855,1839
2002M02,208352,1751
2002M03,253376,2043
2002M04,229641,1835
2002M05,203338,1778
2002M06,215820,1841
2002M07,264317,2162
2002M08,284689,2267
2002M09,256710,2172
2002M10,259208,2079
2002M11,245938,2053
2002M12,224510,2020
2003M01,231025,1901
2003M02,227436,1767
2003M03,300208,2137
2003M04,286749,2376
2003M05,240588,2292
2003M06,242814,2237
2003M07,278284,2595
2003M08,308385,2714
2003M09,279990,2555
2003M10,276967,2456
2003M11,271696,2443
2003M12,247471,2444
2004M01,233901,2398
2004M02,229446,2206
2004M03,266252,2435
2004M04,256593,2397
2004M05,232026,2236
2004M06,227205,2208
2004M07,269945,2339
2004M08,314197,2773
2004M09,271826,2392
2004M10,281220,2400
2004M11,259759,2468
2004M12,245089,2513
2005M01,255697,2502
2005M02,234939,2214
2005M03,280472,2530
2005M04,265774,2440
2005M05,246580,2332
2005M06,243755,2305
2005M07,309068,2729
2005M08,357376,2995
2005M09,299378,2593
2005M10,316184,2553
2005M11,270072,2467
2005M12,254111,2541
2006M01,246523,2480
2006M02,234135,2332
2006M03,281711,2683
2006M04,314999,2769
2006M05,275707,2568
2006M06,277600,2598
2006M07,337794,3029
2006M08,361404,3123
2006M09,316329,2609
2006M10,316091,2539
2006M11,281266,2559
2006M12,267644,2671
2007M01,270985,2422
2007M02,265006,2138
2007M03,324353,2518
2007M04,315656,2491
2007M05,282172,2605
2007M06,289690,2487
2007M07,337259,2872
2007M08,363765,3069
2007M09,327583,2751
2007M10,330882,2832
2007M11,278717,2572
2007M12,280670,2731
2008M01,262562,2549
2008M02,262134,2384
2008M03,317475,2903
2008M04,290954,2772
2008M05,284352,2758
2008M06,283678,2751
2008M07,324545,3122
2008M08,361169,3321
2008M09,293897,2795
2008M10,283090,2742
2008M11,260465,2581
2008M12,243493,2551
2009M01,220898,2304
2009M02,196732,1966
2009M03,224887,2274
2009M04,250269,2387
2009M05,222192,2240
2009M06,217894,2104
2009M07,252451,2342
2009M08,283604,2609
2009M09,237295,2216
2009M10,252723,2333
2009M11,212768,2202
2009M12,215606,2226
2010M01,214449,2204
2010M02,213529,2042
2010M03,261491,2513
2010M04,231571,2394
2010M05,243105,2438
2010M06,250094,2382
2010M07,297497,2632
2010M08,312857,2770
2010M09,275582,2465
2010M10,299592,2567
2010M11,257636,2388
2010M12,233723,2336
2011M01,277013,2482
2011M02,299647,2488
2011M03,347534,2946
2011M04,353641,3045
2011M05,286026,2804
2011M06,297746,2734
2011M07,359342,3170
2011M08,387634,3395
2011M09,329223,3003
2011M10,353814,3090
2011M11,303408,2825
2011M12,278631,2830
2012M01,273339,2588
2012M02,264937,2376
2012M03,306534,2763
2012M04,284034,2547
2012M05,241714,2294
2012M06,260036,2282
2012M07,293737,2423
2012M08,308441,2528
2012M09,271998,2291
2012M10,284523,2243
2012M11,256704,2082
2012M12,246300,2168
2013M01,250307,2087
2013M02,235726,1894
2013M03,288648,2332
2013M04,263313,2186
2013M05,247259,2141
2013M06,260304,2144
2013M07,295850,2411
2013M08,331205,2577
2013M09,285440,2224
2013M10,311129,2478
2013M11,296584,2467
2013M12,269885,2421
2014M01,280094,2357
2014M02,270971,2178
2014M03,325221,2540
2014M04,326373,2682
2014M05,290370,2592
2014M06,297827,2485
2014M07,349546,2899
2014M08,383389,3086
2014M09,322221,2645
2014M10,343321,2732
2014M11,307367,2481
2014M12,292875,2561
2015M01,292308,2495
2015M02,286283,2261
2015M03,326272,2385
2015M04,319360,2431
2015M05,310846,2426
2015M06,307876,2344
2015M07,353224,2610
2015M08,390856,2893
2015M09,331538,2423
2015M10,381585,2707
2015M11,340568,2506
2015M12,313206,2612
2016M01,274303,2340
2016M02,280385,2224
2016M03,326014,2600
2016M04,323746,2630
2016M05,301352,2500
2016M06,313487,2556
2016M07,353794,2879
2016M08,370678,2983
2016M09,319890,2684
2016M10,359408,2614
2016M11,304544,2439
2016M12,298432,2553
2017M01,280544,2367
2017M02,277461,2163
2017M03,321532,2518
2017M04,351709,2659
2017M05,309768,2503
2017M06,327660,2477
2017M07,377699,2907
2017M08,391383,2993
2017M09,355984,2830
2017M10,366576,2924
2017M11,335491,2948
2017M12,323352,3008
2018M01,306074,2890
2018M02,304858,2659
2018M03,372720,3115
2018M04,345798,2992
2018M05,330494,2916
2018M06,347934,3018
2018M07,391991,3267
2018M08,405866,3347
2018M09,359109,3070
2018M10,382841,3183
2018M11,333533,2967
2018M12,318412,3002
