timeperiod,pax,flights
2001M01,8787,189
2001M02,8238,170
2001M03,8613,170
2001M04,9292,194
2001M05,9582,189
2001M06,9673,187
2001M07,12862,278
2001M08,12915,266
2001M09,11636,243
2001M10,10665,230
2001M11,9469,205
2001M12,8649,193
2002M01,8262,229
2002M02,8162,209
2002M03,9404,223
2002M04,9020,217
2002M05,10395,244
2002M06,9985,227
2002M07,11370,304
2002M08,13440,347
2002M09,12546,303
2002M10,10784,261
2002M11,9637,219
2002M12,9301,232
2003M01,0,0
2003M02,0,0
2003M03,0,0
2003M04,0,0
2003M05,0,0
2003M06,0,0
2003M07,0,0
2003M08,0,0
2003M09,0,0
2003M10,0,0
2003M11,0,0
2003M12,0,0
2004M01,0,0
2004M02,0,0
2004M03,0,0
2004M04,0,0
2004M05,0,0
2004M06,0,0
2004M07,0,0
2004M08,0,0
2004M09,0,0
2004M10,0,0
2004M11,0,0
2004M12,0,0
2005M01,0,0
2005M02,0,0
2005M03,0,0
2005M04,0,0
2005M05,0,0
2005M06,0,0
2005M07,0,0
2005M08,0,0
2005M09,0,0
2005M10,0,0
2005M11,0,0
2005M12,0,0
2006M01,10779,288
2006M02,10406,249
2006M03,12372,294
2006M04,12991,294
2006M05,13935,299
2006M06,13851,285
2006M07,15898,321
2006M08,16243,332
2006M09,14754,314
2006M10,14567,291
2006M11,13999,312
2006M12,13409,308
2007M01,11766,311
2007M02,12492,290
2007M03,13981,322
2007M04,14418,322
2007M05,14453,340
2007M06,13479,319
2007M07,16237,348
2007M08,17733,362
2007M09,16274,334
2007M10,15949,350
2007M11,15358,352
2007M12,15384,355
2008M01,13067,306
2008M02,13887,297
2008M03,16298,360
2008M04,15136,335
2008M05,16477,346
2008M06,16759,328
2008M07,17307,345
2008M08,18351,336
2008M09,16571,334
2008M10,16673,333
2008M11,15114,322
2008M12,15236,320
2009M01,13494,319
2009M02,12443,275
2009M03,13928,328
2009M04,15919,321
2009M05,15027,326
2009M06,15199,317
2009M07,18550,342
2009M08,17694,328
2009M09,14633,316
2009M10,15939,328
2009M11,14429,318
2009M12,14219,284
2010M01,12646,317
2010M02,10698,239
2010M03,14644,324
2010M04,13558,298
2010M05,15131,328
2010M06,14618,313
2010M07,15434,322
2010M08,16961,323
2010M09,14272,311
2010M10,15408,330
2010M11,12744,266
2010M12,13762,291
2011M01,11825,279
2011M02,12057,272
2011M03,13736,301
2011M04,14292,311
2011M05,15250,338
2011M06,14458,328
2011M07,16051,355
2011M08,17653,348
2011M09,15001,342
2011M10,13572,346
2011M11,12374,333
2011M12,12822,340
2012M01,11296,332
2012M02,12602,320
2012M03,12791,334
2012M04,12964,284
2012M05,13240,286
2012M06,12869,283
2012M07,13383,337
2012M08,14238,320
2012M09,11768,306
2012M10,12360,260
2012M11,11734,283
2012M12,12209,289
2013M01,10396,293
2013M02,10504,273
2013M03,11780,271
2013M04,10755,287
2013M05,11600,302
2013M06,10730,287
2013M07,14733,340
2013M08,12026,300
2013M09,10658,284
2013M10,11179,246
2013M11,10897,240
2013M12,11517,258
2014M01,10538,246
2014M02,9483,224
2014M03,10487,242
2014M04,11671,239
2014M05,12006,254
2014M06,12077,250
2014M07,13808,310
2014M08,15714,310
2014M09,13685,295
2014M10,12497,258
2014M11,10772,228
2014M12,12433,260
2015M01,0,0
2015M02,0,0
2015M03,0,0
2015M04,0,0
2015M05,0,0
2015M06,0,0
2015M07,0,0
2015M08,0,0
2015M09,0,0
2015M10,0,0
2015M11,0,0
2015M12,0,0
2016M01,0,0
2016M02,0,0
2016M03,0,0
2016M04,0,0
2016M05,0,0
2016M06,0,0
2016M07,0,0
2016M08,0,0
2016M09,0,0
2016M10,0,0
2016M11,0,0
2016M12,0,0
2017M01,0,0
2017M02,0,0
2017M03,0,0
2017M04,0,0
2017M05,0,0
2017M06,0,0
2017M07,0,0
2017M08,0,0
2017M09,0,0
2017M10,0,0
2017M11,0,0
2017M12,0,0
2018M01,8941,184
2018M02,7873,161
2018M03,9327,183
2018M04,9823,188
2018M05,10104,190
2018M06,10062,184
2018M07,12175,199
2018M08,13103,211
2018M09,11467,188
2018M10,10900,194
2018M11,9895,176
2018M12,9855,194
