timeperiod,pax,flights
2001M01,60282,964
2001M02,58541,863
2001M03,66657,909
2001M04,70087,1009
2001M05,59406,955
2001M06,58177,939
2001M07,73853,1208
2001M08,79051,1270
2001M09,72411,1190
2001M10,68488,1042
2001M11,64196,931
2001M12,58152,835
2002M01,57120,876
2002M02,57071,803
2002M03,68061,928
2002M04,60861,905
2002M05,58505,901
2002M06,54026,845
2002M07,65585,992
2002M08,73450,1138
2002M09,66875,1069
2002M10,63656,1019
2002M11,64624,926
2002M12,60209,889
2003M01,57045,913
2003M02,56239,835
2003M03,66587,928
2003M04,71413,1097
2003M05,59855,1256
2003M06,57867,1188
2003M07,72196,1526
2003M08,79758,1536
2003M09,68947,1474
2003M10,65464,1347
2003M11,65851,1297
2003M12,68881,1361
2004M01,63715,1359
2004M02,66572,1246
2004M03,72195,1342
2004M04,75707,1422
2004M05,64902,1376
2004M06,64550,1302
2004M07,76012,1376
2004M08,85464,1579
2004M09,73622,1468
2004M10,71616,1400
2004M11,71335,1341
2004M12,78196,1429
2005M01,71523,1433
2005M02,67784,1208
2005M03,88612,1516
2005M04,79402,1442
2005M05,80070,1491
2005M06,78660,1405
2005M07,98319,1780
2005M08,95120,1741
2005M09,84809,1633
2005M10,78885,1396
2005M11,81114,1382
2005M12,86179,1517
2006M01,76185,1556
2006M02,69737,1345
2006M03,88305,1565
2006M04,91569,1574
2006M05,81482,1550
2006M06,82192,1520
2006M07,90976,1702
2006M08,97750,1711
2006M09,84058,1608
2006M10,86004,1492
2006M11,86232,1484
2006M12,89705,1516
2007M01,74771,1418
2007M02,78866,1308
2007M03,90755,1500
2007M04,91042,1465
2007M05,80535,1502
2007M06,76300,1331
2007M07,94437,1559
2007M08,98539,1573
2007M09,86757,1502
2007M10,88864,1528
2007M11,81121,1446
2007M12,85243,1498
2008M01,76100,1498
2008M02,82075,1407
2008M03,92889,1573
2008M04,75955,1377
2008M05,83735,1489
2008M06,81723,1451
2008M07,90081,1607
2008M08,96707,1618
2008M09,82376,1450
2008M10,79787,1494
2008M11,76664,1452
2008M12,81609,1526
2009M01,68056,1436
2009M02,70480,1289
2009M03,75963,1477
2009M04,83421,1511
2009M05,73547,1416
2009M06,73295,1373
2009M07,86880,1499
2009M08,85782,1548
2009M09,72866,1423
2009M10,76965,1439
2009M11,73134,1408
2009M12,73586,1251
2010M01,69205,1377
2010M02,54625,1022
2010M03,76454,1464
2010M04,68150,1385
2010M05,70546,1474
2010M06,70669,1470
2010M07,89702,1749
2010M08,81967,1545
2010M09,69391,1387
2010M10,75218,1469
2010M11,64149,1308
2010M12,69067,1239
2011M01,67045,1324
2011M02,65259,1256
2011M03,81256,1575
2011M04,78675,1466
2011M05,76212,1427
2011M06,72558,1392
2011M07,86229,1480
2011M08,91591,1610
2011M09,80750,1458
2011M10,76162,1522
2011M11,71757,1460
2011M12,73536,1464
2012M01,70697,1426
2012M02,73019,1441
2012M03,75350,1533
2012M04,70768,1285
2012M05,66787,1244
2012M06,66180,1228
2012M07,75952,1259
2012M08,78395,1254
2012M09,63560,1152
2012M10,62046,1011
2012M11,56961,933
2012M12,61975,1024
2013M01,53119,861
2013M02,54252,910
2013M03,58783,962
2013M04,51181,886
2013M05,56339,950
2013M06,52383,884
2013M07,61491,996
2013M08,64292,1028
2013M09,57005,918
2013M10,54808,935
2013M11,55552,940
2013M12,58198,1005
2014M01,56981,998
2014M02,52131,892
2014M03,65713,1104
2014M04,62330,1115
2014M05,62501,1156
2014M06,60928,1084
2014M07,68321,1194
2014M08,74038,1261
2014M09,64014,1195
2014M10,64074,1133
2014M11,57700,1072
2014M12,67783,1198
2015M01,65370,1116
2015M02,67414,1153
2015M03,73540,1182
2015M04,71982,1161
2015M05,71016,1189
2015M06,67306,1131
2015M07,84363,1462
2015M08,77283,1206
2015M09,67697,1117
2015M10,70060,1131
2015M11,70383,1126
2015M12,74657,1166
2016M01,75368,1135
2016M02,77096,1194
2016M03,89456,1260
2016M04,77657,1191
2016M05,82802,1268
2016M06,76866,1182
2016M07,87392,1295
2016M08,90857,1295
2016M09,80860,1230
2016M10,82413,1230
2016M11,82657,1217
2016M12,84638,1231
2017M01,79211,1190
2017M02,76543,1203
2017M03,87241,1254
2017M04,91564,1239
2017M05,88252,1266
2017M06,83361,1178
2017M07,101492,1323
2017M08,108903,1329
2017M09,97502,1310
2017M10,98311,1313
2017M11,94505,1370
2017M12,98915,1483
2018M01,92042,1393
2018M02,85651,1319
2018M03,104173,1486
2018M04,102923,1709
2018M05,109771,1787
2018M06,101264,1686
2018M07,118126,1775
2018M08,121848,1779
2018M09,105275,1677
2018M10,106851,1741
2018M11,98135,1684
2018M12,102819,1710
