timeperiod,pax,flights
2001M01,594110,5109
2001M02,555840,4629
2001M03,644077,5228
2001M04,609591,5048
2001M05,489630,4574
2001M06,495368,4506
2001M07,586532,5133
2001M08,613867,5274
2001M09,580096,5160
2001M10,619518,5220
2001M11,570025,4978
2001M12,587028,5209
2002M01,556378,5118
2002M02,564660,4893
2002M03,652976,5474
2002M04,542541,4803
2002M05,472625,4502
2002M06,478099,4380
2002M07,540185,4845
2002M08,570397,5033
2002M09,540896,4934
2002M10,583758,5050
2002M11,599093,5083
2002M12,579567,5122
2003M01,570786,5256
2003M02,538372,4747
2003M03,629310,5446
2003M04,574394,5581
2003M05,469155,5010
2003M06,473361,4905
2003M07,534651,5486
2003M08,591774,5688
2003M09,510368,5302
2003M10,570831,5649
2003M11,594875,5950
2003M12,581017,5993
2004M01,593250,6073
2004M02,587449,5816
2004M03,625274,6195
2004M04,587642,5785
2004M05,513070,5336
2004M06,480398,5153
2004M07,544389,5340
2004M08,596600,6047
2004M09,536000,5429
2004M10,649267,6090
2004M11,627093,6261
2004M12,636477,6696
2005M01,651658,6622
2005M02,616281,6046
2005M03,685222,6657
2005M04,602281,6128
2005M05,539041,5674
2005M06,511545,5370
2005M07,594959,6037
2005M08,613490,6015
2005M09,549819,5557
2005M10,667738,6255
2005M11,660879,6144
2005M12,652178,6439
2006M01,625333,6641
2006M02,603704,6122
2006M03,703654,6958
2006M04,683729,6651
2006M05,580243,6087
2006M06,551544,5871
2006M07,647303,6426
2006M08,633176,6279
2006M09,583122,5858
2006M10,669344,6028
2006M11,648133,6147
2006M12,662493,6257
2007M01,648944,6214
2007M02,639369,5696
2007M03,749876,6376
2007M04,674310,6043
2007M05,572982,5545
2007M06,567800,5271
2007M07,659465,6282
2007M08,658059,6386
2007M09,617149,5900
2007M10,706733,6280
2007M11,699769,6608
2007M12,716351,7048
2008M01,643359,6486
2008M02,662366,6261
2008M03,769530,7186
2008M04,642915,6434
2008M05,573258,6146
2008M06,582988,5975
2008M07,631441,6546
2008M08,653174,6608
2008M09,556509,6030
2008M10,644938,6564
2008M11,659443,6788
2008M12,646137,6849
2009M01,584432,6194
2009M02,562025,5509
2009M03,616949,6137
2009M04,607242,5933
2009M05,482587,5248
2009M06,468604,5027
2009M07,548354,5529
2009M08,555000,5406
2009M09,487844,5147
2009M10,579196,5720
2009M11,585822,6073
2009M12,595601,6068
2010M01,582869,6037
2010M02,559286,5394
2010M03,652522,6380
2010M04,536404,5705
2010M05,522264,5807
2010M06,509630,5630
2010M07,565654,5781
2010M08,574343,5573
2010M09,508019,5352
2010M10,612269,5992
2010M11,624106,6122
2010M12,629730,6108
2011M01,659660,6232
2011M02,654770,5985
2011M03,743115,6932
2011M04,700580,6561
2011M05,541917,6023
2011M06,551706,5888
2011M07,640390,6327
2011M08,652876,6353
2011M09,568042,6035
2011M10,660881,6650
2011M11,696596,6882
2011M12,731263,7017
2012M01,664335,6428
2012M02,637873,5911
2012M03,704144,6603
2012M04,593190,5693
2012M05,507944,5208
2012M06,525251,5131
2012M07,595719,5475
2012M08,591311,5270
2012M09,520100,4954
2012M10,585973,5125
2012M11,617795,5276
2012M12,633823,5521
2013M01,623665,5365
2013M02,594393,5004
2013M03,691310,5843
2013M04,548740,5010
2013M05,498583,4705
2013M06,502793,4626
2013M07,580288,5120
2013M08,569576,4867
2013M09,547229,4769
2013M10,636097,5679
2013M11,713308,6223
2013M12,702134,6252
2014M01,689940,6077
2014M02,640936,5545
2014M03,747696,6449
2014M04,669128,6081
2014M05,526069,5343
2014M06,550211,5278
2014M07,611023,5656
2014M08,621800,5495
2014M09,562390,5165
2014M10,666562,5899
2014M11,720800,6152
2014M12,730699,6321
2015M01,700223,6075
2015M02,659260,5615
2015M03,727979,6053
2015M04,654899,5637
2015M05,548160,5088
2015M06,535300,4898
2015M07,631927,5373
2015M08,639363,5177
2015M09,583019,4901
2015M10,702607,5833
2015M11,746408,6200
2015M12,762945,6424
2016M01,787405,6598
2016M02,763641,6263
2016M03,841102,6990
2016M04,735939,6443
2016M05,670559,6100
2016M06,683829,6081
2016M07,764497,6436
2016M08,769674,6347
2016M09,697363,5997
2016M10,822052,6479
2016M11,799172,6823
2016M12,846535,6964
2017M01,826186,6944
2017M02,792474,6430
2017M03,893782,7244
2017M04,875638,6821
2017M05,738275,6286
2017M06,748002,6162
2017M07,856879,6673
2017M08,848826,6527
2017M09,814241,6508
2017M10,937228,7667
2017M11,937313,8617
2017M12,971044,8635
2018M01,910051,8366
2018M02,869571,7642
2018M03,1005123,8791
2018M04,884690,8086
2018M05,817416,7734
2018M06,821900,7681
2018M07,904872,7999
2018M08,907518,7968
2018M09,853527,7737
2018M10,962083,8600
2018M11,937896,8750
2018M12,972954,8962
