timeperiod,pax,flights
2001M01,525946,2931
2001M02,524522,2802
2001M03,625888,3250
2001M04,573434,3062
2001M05,443691,2384
2001M06,478750,2536
2001M07,522980,2787
2001M08,587683,3026
2001M09,527765,2730
2001M10,565518,2877
2001M11,569440,3061
2001M12,512971,2968
2002M01,503054,3177
2002M02,519858,3065
2002M03,642940,3640
2002M04,520957,3171
2002M05,410111,2589
2002M06,399947,2492
2002M07,493291,3098
2002M08,597023,3404
2002M09,485081,2889
2002M10,543215,3070
2002M11,568971,3512
2002M12,511224,3374
2003M01,524688,3211
2003M02,507419,3002
2003M03,563271,3394
2003M04,594532,3546
2003M05,441244,2545
2003M06,397637,2320
2003M07,506703,3047
2003M08,646392,3717
2003M09,494010,2970
2003M10,559781,3226
2003M11,518881,3273
2003M12,474179,3250
2004M01,521599,3525
2004M02,516529,3350
2004M03,526362,3441
2004M04,551820,3627
2004M05,362937,2534
2004M06,374784,2557
2004M07,485182,3100
2004M08,574366,3547
2004M09,451634,2866
2004M10,562839,3257
2004M11,511180,3126
2004M12,507954,3398
2005M01,519046,3127
2005M02,499819,2945
2005M03,565660,3348
2005M04,521340,3139
2005M05,390965,2521
2005M06,373036,2399
2005M07,536888,3139
2005M08,614674,3406
2005M09,538775,2987
2005M10,606799,3242
2005M11,540841,3247
2005M12,530881,3492
2006M01,530978,3322
2006M02,499875,2995
2006M03,577376,3431
2006M04,577744,3540
2006M05,391222,2534
2006M06,419708,2645
2006M07,485208,3019
2006M08,552502,3371
2006M09,492449,2825
2006M10,562462,3008
2006M11,505704,3166
2006M12,525176,3401
2007M01,507865,3215
2007M02,495306,2933
2007M03,587703,3296
2007M04,520645,3153
2007M05,362813,2321
2007M06,390438,2383
2007M07,463814,2801
2007M08,519937,3051
2007M09,436922,2633
2007M10,526191,3089
2007M11,534965,3122
2007M12,516836,3445
2008M01,495094,3137
2008M02,510661,3169
2008M03,578106,3577
2008M04,502403,3093
2008M05,377285,2335
2008M06,362604,2256
2008M07,417116,2498
2008M08,468353,2807
2008M09,376655,2252
2008M10,456861,2614
2008M11,445603,2682
2008M12,422812,2853
2009M01,400086,2349
2009M02,373875,2087
2009M03,418734,2342
2009M04,406940,2318
2009M05,304826,1753
2009M06,289475,1635
2009M07,346839,1916
2009M08,388947,2225
2009M09,323265,1812
2009M10,401766,2251
2009M11,396340,2396
2009M12,392261,2442
2010M01,455762,2704
2010M02,421489,2372
2010M03,474601,2654
2010M04,388151,2255
2010M05,317844,1903
2010M06,343884,1988
2010M07,407446,2237
2010M08,429096,2317
2010M09,365316,1956
2010M10,485404,2594
2010M11,456116,2552
2010M12,432385,2572
2011M01,493547,2795
2011M02,491349,2702
2011M03,565335,3132
2011M04,581241,3290
2011M05,379756,2246
2011M06,385162,2164
2011M07,478104,2524
2011M08,492158,2536
2011M09,453361,2367
2011M10,545397,2949
2011M11,539919,3073
2011M12,513599,3155
2012M01,519657,2989
2012M02,498325,2801
2012M03,558632,3098
2012M04,498340,2909
2012M05,369647,2069
2012M06,407961,2171
2012M07,439547,2254
2012M08,459939,2346
2012M09,421974,2188
2012M10,521445,2705
2012M11,515119,2816
2012M12,500765,2927
2013M01,517600,2894
2013M02,502148,2693
2013M03,593360,3169
2013M04,512633,2837
2013M05,414696,2274
2013M06,416907,2243
2013M07,468399,2468
2013M08,486081,2511
2013M09,438239,2304
2013M10,534894,2866
2013M11,580092,3396
2013M12,560490,3461
2014M01,549244,3320
2014M02,535485,3082
2014M03,616979,3497
2014M04,570692,3243
2014M05,456677,2696
2014M06,452997,2581
2014M07,513310,2834
2014M08,558415,2964
2014M09,493196,2695
2014M10,587846,3209
2014M11,568462,3314
2014M12,550289,3373
2015M01,561500,3387
2015M02,537865,3059
2015M03,622765,3461
2015M04,541956,3074
2015M05,481157,2706
2015M06,470498,2645
2015M07,537120,2927
2015M08,572211,3065
2015M09,516411,2770
2015M10,622094,3302
2015M11,617690,3494
2015M12,592924,3595
2016M01,630109,3754
2016M02,632346,3571
2016M03,703807,3873
2016M04,647758,3661
2016M05,564372,3140
2016M06,576120,3197
2016M07,673895,3668
2016M08,698023,3724
2016M09,635651,3451
2016M10,723736,3942
2016M11,688118,4034
2016M12,700121,4366
2017M01,703575,4309
2017M02,677455,3927
2017M03,754305,4276
2017M04,756531,4170
2017M05,625216,3592
2017M06,647226,3601
2017M07,707530,3835
2017M08,724353,3867
2017M09,687775,3713
2017M10,739596,3964
2017M11,726671,4122
2017M12,725993,4296
2018M01,705972,4150
2018M02,671479,3810
2018M03,772792,4323
2018M04,674813,3784
2018M05,592277,3390
2018M06,619477,3523
2018M07,691132,3892
2018M08,703384,3929
2018M09,656395,3751
2018M10,747392,4316
2018M11,738362,4540
2018M12,736930,4767
