timeperiod,pax,flights
2001M01,172646,2693
2001M02,173696,2495
2001M03,184036,2700
2001M04,201299,2725
2001M05,201867,2772
2001M06,203935,2711
2001M07,225609,3115
2001M08,251813,3275
2001M09,227917,3072
2001M10,222757,3006
2001M11,191537,2727
2001M12,184252,2551
2002M01,169478,2580
2002M02,179577,2429
2002M03,194722,2675
2002M04,190342,2695
2002M05,204103,2818
2002M06,206561,2630
2002M07,220862,2708
2002M08,240244,2968
2002M09,237965,2935
2002M10,218983,2947
2002M11,198111,2710
2002M12,196054,2679
2003M01,184035,2702
2003M02,183659,2438
2003M03,205293,2747
2003M04,218274,2994
2003M05,227462,3329
2003M06,234268,3190
2003M07,257142,3574
2003M08,271042,3598
2003M09,253192,3543
2003M10,241646,3442
2003M11,221664,3348
2003M12,240270,3541
2004M01,220657,3489
2004M02,235018,3299
2004M03,237654,3534
2004M04,263777,3616
2004M05,265608,3710
2004M06,273898,3617
2004M07,290359,3686
2004M08,300454,4193
2004M09,278396,3927
2004M10,288401,4068
2004M11,251903,3932
2004M12,272103,4175
2005M01,243350,4113
2005M02,248675,3594
2005M03,290968,4204
2005M04,289331,4072
2005M05,310710,4170
2005M06,303708,4000
2005M07,393629,4495
2005M08,375287,4281
2005M09,364478,4258
2005M10,368405,4088
2005M11,325297,3832
2005M12,340625,4091
2006M01,257997,4203
2006M02,249986,3811
2006M03,294740,4388
2006M04,315223,4265
2006M05,335779,4405
2006M06,330272,4323
2006M07,334104,4616
2006M08,325949,4636
2006M09,315778,4436
2006M10,325747,4423
2006M11,294559,4183
2006M12,305268,4224
2007M01,273104,4282
2007M02,283719,3902
2007M03,325368,4428
2007M04,333585,4271
2007M05,333244,4413
2007M06,322684,4018
2007M07,349840,4524
2007M08,348181,4611
2007M09,323119,4358
2007M10,340153,4569
2007M11,309610,4350
2007M12,316193,4489
2008M01,282755,4334
2008M02,295569,4178
2008M03,339897,4888
2008M04,321080,4649
2008M05,359882,4923
2008M06,365447,4830
2008M07,394692,5202
2008M08,397879,5268
2008M09,338364,4882
2008M10,332228,4646
2008M11,302556,4464
2008M12,312127,4574
2009M01,266269,4157
2009M02,270577,3834
2009M03,300533,4508
2009M04,340641,4545
2009M05,324323,4561
2009M06,336634,4456
2009M07,371041,4635
2009M08,363384,4438
2009M09,324911,4317
2009M10,334247,4595
2009M11,298478,4492
2009M12,321484,4362
2010M01,285406,4202
2010M02,270544,3573
2010M03,322720,4607
2010M04,320920,4442
2010M05,331737,4715
2010M06,339556,4595
2010M07,372009,4629
2010M08,355601,4212
2010M09,330397,4295
2010M10,352459,4476
2010M11,290826,4080
2010M12,311644,4050
2011M01,290221,4022
2011M02,278460,3775
2011M03,326359,4527
2011M04,332035,4349
2011M05,330250,4548
2011M06,339723,4567
2011M07,386319,4788
2011M08,388982,4631
2011M09,353455,4692
2011M10,335590,4791
2011M11,304988,4583
2011M12,328461,4604
2012M01,290419,4258
2012M02,274078,3865
2012M03,300457,4370
2012M04,310124,4024
2012M05,311929,4214
2012M06,321137,4054
2012M07,348377,4242
2012M08,339706,4012
2012M09,295354,3898
2012M10,288175,3655
2012M11,257667,3284
2012M12,279544,3489
2013M01,247424,3234
2013M02,236037,3072
2013M03,276053,3406
2013M04,266924,3328
2013M05,291289,3514
2013M06,293478,3422
2013M07,319331,3632
2013M08,315703,3416
2013M09,295805,3334
2013M10,287717,3462
2013M11,269373,3375
2013M12,280909,3520
2014M01,253585,3390
2014M02,235192,3094
2014M03,278791,3595
2014M04,286151,3653
2014M05,288082,3745
2014M06,307911,3707
2014M07,333683,3937
2014M08,331794,3818
2014M09,303719,3721
2014M10,305190,3762
2014M11,259447,3330
2014M12,291580,3631
2015M01,245333,3165
2015M02,242169,3094
2015M03,273870,3403
2015M04,284942,3419
2015M05,291606,3582
2015M06,301023,3492
2015M07,332349,3707
2015M08,332770,3525
2015M09,299363,3345
2015M10,300307,3479
2015M11,274164,3405
2015M12,293555,3496
2016M01,274985,3378
2016M02,282193,3356
2016M03,325009,3707
2016M04,295417,3528
2016M05,341574,3900
2016M06,331001,3737
2016M07,351186,3801
2016M08,354652,3816
2016M09,334154,3687
2016M10,342605,3734
2016M11,304944,3517
2016M12,308693,3553
2017M01,291562,3509
2017M02,280394,3384
2017M03,332828,3950
2017M04,354034,3937
2017M05,356444,4071
2017M06,365813,4006
2017M07,410632,4362
2017M08,424318,4444
2017M09,403256,4504
2017M10,413016,4776
2017M11,383175,5090
2017M12,395599,5022
2018M01,353296,4672
2018M02,340245,4266
2018M03,406097,4957
2018M04,417873,5190
2018M05,448905,5367
2018M06,446349,5206
2018M07,486366,5486
2018M08,484616,5436
2018M09,453112,5253
2018M10,450071,5375
2018M11,406783,5193
2018M12,420387,5204
