timeperiod,pax,flights
2001M01,16281,529
2001M02,15334,501
2001M03,17726,546
2001M04,18514,571
2001M05,17659,620
2001M06,15407,516
2001M07,20364,707
2001M08,22255,802
2001M09,16453,733
2001M10,14098,553
2001M11,12465,481
2001M12,13198,456
2002M01,14576,563
2002M02,13525,433
2002M03,16157,515
2002M04,15868,459
2002M05,16681,467
2002M06,16731,445
2002M07,17970,487
2002M08,17079,551
2002M09,17121,454
2002M10,15455,463
2002M11,14208,495
2002M12,16393,510
2003M01,13651,480
2003M02,14712,455
2003M03,14072,471
2003M04,15133,519
2003M05,15852,554
2003M06,16472,534
2003M07,18453,569
2003M08,18143,567
2003M09,17813,571
2003M10,17689,594
2003M11,14843,507
2003M12,16994,502
2004M01,16074,588
2004M02,17547,576
2004M03,18134,600
2004M04,19829,653
2004M05,20996,677
2004M06,21407,650
2004M07,20754,616
2004M08,19917,599
2004M09,19289,615
2004M10,18175,617
2004M11,17523,553
2004M12,21064,561
2005M01,19346,535
2005M02,17883,504
2005M03,19625,508
2005M04,20478,602
2005M05,21666,620
2005M06,21361,609
2005M07,22767,683
2005M08,22680,672
2005M09,23403,670
2005M10,22297,679
2005M11,22527,683
2005M12,24423,690
2006M01,23817,672
2006M02,20782,656
2006M03,24491,724
2006M04,25263,710
2006M05,24384,710
2006M06,24332,702
2006M07,27646,669
2006M08,26923,628
2006M09,26503,704
2006M10,25105,745
2006M11,23500,739
2006M12,28180,752
2007M01,26923,808
2007M02,22326,715
2007M03,26720,775
2007M04,28016,761
2007M05,26877,805
2007M06,25977,780
2007M07,29617,754
2007M08,29698,672
2007M09,27309,751
2007M10,26847,799
2007M11,25889,729
2007M12,29790,768
2008M01,24231,745
2008M02,22921,712
2008M03,26000,730
2008M04,23304,758
2008M05,23808,755
2008M06,23279,741
2008M07,26856,773
2008M08,27485,726
2008M09,21465,700
2008M10,22842,699
2008M11,19356,628
2008M12,24739,712
2009M01,19550,616
2009M02,21099,556
2009M03,23982,622
2009M04,26032,645
2009M05,23407,645
2009M06,22422,621
2009M07,25046,651
2009M08,24754,642
2009M09,21451,611
2009M10,23497,660
2009M11,21970,559
2009M12,25831,586
2010M01,10695,295
2010M02,9464,259
2010M03,12431,299
2010M04,24326,661
2010M05,24068,628
2010M06,24917,628
2010M07,27239,636
2010M08,23584,622
2010M09,22707,608
2010M10,23988,639
2010M11,22993,575
2010M12,23858,557
2011M01,21063,570
2011M02,19848,536
2011M03,23222,586
2011M04,25728,610
2011M05,22781,645
2011M06,24182,658
2011M07,24944,620
2011M08,18088,487
2011M09,21675,605
2011M10,23788,621
2011M11,23141,631
2011M12,23650,739
2012M01,20155,766
2012M02,20094,730
2012M03,24099,673
2012M04,24271,645
2012M05,23585,663
2012M06,23510,606
2012M07,23371,598
2012M08,20362,531
2012M09,24339,645
2012M10,25926,658
2012M11,23523,667
2012M12,24796,686
2013M01,21475,637
2013M02,19143,502
2013M03,22946,505
2013M04,20612,469
2013M05,22894,573
2013M06,21807,556
2013M07,21195,555
2013M08,22010,513
2013M09,22677,553
2013M10,23547,577
2013M11,21580,522
2013M12,22750,526
2014M01,19479,505
2014M02,19295,475
2014M03,21210,508
2014M04,23076,522
2014M05,22365,537
2014M06,22407,521
2014M07,23684,553
2014M08,26295,571
2014M09,24886,631
2014M10,25452,643
2014M11,21880,605
2014M12,23464,567
2015M01,20834,546
2015M02,21347,488
2015M03,24075,553
2015M04,23653,555
2015M05,23716,555
2015M06,22621,564
2015M07,25742,570
2015M08,25040,517
2015M09,25298,564
2015M10,24074,566
2015M11,21550,540
2015M12,22484,503
2016M01,20615,535
2016M02,21012,507
2016M03,23625,564
2016M04,22983,537
2016M05,24619,572
2016M06,23190,550
2016M07,28528,555
2016M08,26774,515
2016M09,27411,548
2016M10,26158,549
2016M11,23746,536
2016M12,24937,514
2017M01,22255,513
2017M02,22315,469
2017M03,25535,565
2017M04,26394,536
2017M05,26623,574
2017M06,25056,560
2017M07,28681,557
2017M08,27837,521
2017M09,28849,568
2017M10,28224,580
2017M11,26246,509
2017M12,26290,502
2018M01,23881,517
2018M02,23273,481
2018M03,25937,533
2018M04,26689,522
2018M05,26960,594
2018M06,28336,577
2018M07,32177,571
2018M08,31260,519
2018M09,32057,569
2018M10,32381,597
2018M11,28302,506
2018M12,27615,489
