timeperiod,pax,flights
2001M01,282058,2454
2001M02,296161,2293
2001M03,385555,2751
2001M04,431272,3062
2001M05,473130,3403
2001M06,516718,3486
2001M07,548131,3724
2001M08,541921,3746
2001M09,547128,3662
2001M10,484167,3498
2001M11,340592,2488
2001M12,293056,2330
2002M01,288153,2337
2002M02,312041,2271
2002M03,429039,2936
2002M04,453280,3186
2002M05,480891,3403
2002M06,545928,3613
2002M07,575989,3763
2002M08,603641,3983
2002M09,551943,3580
2002M10,537772,3574
2002M11,413416,3134
2002M12,343476,2893
2003M01,369459,2956
2003M02,403414,2870
2003M03,495347,3313
2003M04,557856,3862
2003M05,643499,4443
2003M06,652623,4406
2003M07,714674,4765
2003M08,758444,5036
2003M09,680935,4586
2003M10,647193,4429
2003M11,479454,3675
2003M12,400778,3362
2004M01,419010,3538
2004M02,469773,3487
2004M03,562434,3948
2004M04,594078,4263
2004M05,655774,4799
2004M06,687384,4773
2004M07,754258,5074
2004M08,759095,5214
2004M09,700832,4851
2004M10,690861,4930
2004M11,478841,3778
2004M12,399580,3553
2005M01,437259,3652
2005M02,434594,3429
2005M03,556016,3985
2005M04,598056,4438
2005M05,670495,4882
2005M06,699920,4751
2005M07,802902,5240
2005M08,807527,5248
2005M09,748286,4847
2005M10,716154,4808
2005M11,490831,3796
2005M12,411803,3528
2006M01,401762,3551
2006M02,427428,3566
2006M03,531091,4055
2006M04,627891,4463
2006M05,686036,5048
2006M06,726728,5202
2006M07,787385,5547
2006M08,784897,5675
2006M09,743478,5169
2006M10,698973,4952
2006M11,493838,3817
2006M12,424579,3654
2007M01,410677,3595
2007M02,426029,3400
2007M03,556213,3927
2007M04,603076,4427
2007M05,688669,5278
2007M06,737667,5410
2007M07,788578,5620
2007M08,796697,5624
2007M09,750919,5297
2007M10,695738,5084
2007M11,508595,4089
2007M12,451735,3932
2008M01,435002,3833
2008M02,469786,3830
2008M03,606185,4449
2008M04,627609,4780
2008M05,704775,5176
2008M06,713382,5181
2008M07,782523,5534
2008M08,787825,5487
2008M09,712918,5170
2008M10,668768,5095
2008M11,471125,3796
2008M12,421082,3619
2009M01,384812,3462
2009M02,409865,3390
2009M03,510922,3901
2009M04,606530,4527
2009M05,649734,4857
2009M06,686379,4892
2009M07,757997,5177
2009M08,786057,5203
2009M09,701312,4981
2009M10,644822,4914
2009M11,427471,3431
2009M12,387887,3174
2010M01,357949,3143
2010M02,384737,3166
2010M03,492503,3811
2010M04,502433,4002
2010M05,630223,4763
2010M06,676260,4898
2010M07,754133,5168
2010M08,764251,5042
2010M09,691580,4786
2010M10,679965,4879
2010M11,445971,3377
2010M12,365148,2944
2011M01,383519,3211
2011M02,406954,3198
2011M03,511517,3799
2011M04,667726,4914
2011M05,717566,5384
2011M06,754740,5399
2011M07,858657,5802
2011M08,868840,5654
2011M09,800567,5450
2011M10,750070,5282
2011M11,457856,3219
2011M12,386924,2913
2012M01,348651,2590
2012M02,360617,2571
2012M03,469628,3204
2012M04,570401,3853
2012M05,626928,4203
2012M06,675867,4264
2012M07,788645,4902
2012M08,785573,4917
2012M09,702299,4351
2012M10,629797,4045
2012M11,414291,2817
2012M12,353282,2520
2013M01,363428,2640
2013M02,366810,2493
2013M03,485363,3214
2013M04,636139,4391
2013M05,724355,4805
2013M06,758513,4808
2013M07,865983,5530
2013M08,867563,5425
2013M09,779821,4953
2013M10,710087,4686
2013M11,463502,3240
2013M12,384639,2902
2014M01,371792,2825
2014M02,392591,2780
2014M03,509528,3409
2014M04,700363,4686
2014M05,759249,5046
2014M06,802859,5259
2014M07,902667,5981
2014M08,906340,5844
2014M09,805007,5268
2014M10,753158,5039
2014M11,485049,3537
2014M12,419091,3152
2015M01,420501,3146
2015M02,425770,3017
2015M03,556830,3765
2015M04,730632,4953
2015M05,806974,5391
2015M06,838591,5492
2015M07,962317,6134
2015M08,960532,6051
2015M09,858674,5493
2015M10,818235,5403
2015M11,541619,3884
2015M12,488380,3706
2016M01,506530,3764
2016M02,533177,3701
2016M03,718942,4822
2016M04,845139,5809
2016M05,949422,6303
2016M06,1020893,6690
2016M07,1172761,7534
2016M08,1154900,7312
2016M09,1063584,6782
2016M10,1012078,6647
2016M11,674836,4802
2016M12,601990,4564
2017M01,586285,4433
2017M02,594961,4273
2017M03,786152,5277
2017M04,1023697,6712
2017M05,1078952,7224
2017M06,1161203,7579
2017M07,1335800,8350
2017M08,1313456,8154
2017M09,1182848,7443
2017M10,1053022,6796
2017M11,681492,4758
2017M12,622630,4622
2018M01,597029,4336
2018M02,610335,4230
2018M03,811139,5439
2018M04,1013627,6711
2018M05,1082227,7088
2018M06,1168201,7475
2018M07,1312653,8202
2018M08,1276518,8065
2018M09,1169652,7455
2018M10,1104871,7230
2018M11,747730,5310
2018M12,681233,5041
