timeperiod,pax,flights
2001M01,37759,510
2001M02,36424,457
2001M03,49158,559
2001M04,49949,572
2001M05,69701,747
2001M06,68000,691
2001M07,70358,588
2001M08,73816,462
2001M09,66701,525
2001M10,62715,564
2001M11,37884,586
2001M12,28627,534
2002M01,30673,579
2002M02,30979,524
2002M03,41216,596
2002M04,40444,598
2002M05,63137,708
2002M06,61158,665
2002M07,65198,716
2002M08,75475,826
2002M09,61635,664
2002M10,64069,704
2002M11,35811,599
2002M12,29260,565
2003M01,34374,585
2003M02,33723,543
2003M03,43024,626
2003M04,46117,621
2003M05,61230,717
2003M06,60009,681
2003M07,66655,753
2003M08,63937,759
2003M09,56158,678
2003M10,59945,718
2003M11,41895,657
2003M12,36899,649
2004M01,39501,723
2004M02,43290,719
2004M03,52860,805
2004M04,52971,777
2004M05,58612,819
2004M06,60249,794
2004M07,64796,827
2004M08,65148,833
2004M09,65384,830
2004M10,52705,773
2004M11,40635,705
2004M12,37781,653
2005M01,47432,735
2005M02,55196,792
2005M03,70265,938
2005M04,72087,983
2005M05,91193,1095
2005M06,105794,1213
2005M07,100877,1147
2005M08,102426,1110
2005M09,100329,1071
2005M10,90592,1068
2005M11,60615,883
2005M12,57675,864
2006M01,52952,878
2006M02,54569,825
2006M03,67769,941
2006M04,76179,939
2006M05,94073,1082
2006M06,93277,1045
2006M07,93216,1014
2006M08,95969,997
2006M09,89789,996
2006M10,86819,1090
2006M11,73955,1182
2006M12,67991,1060
2007M01,65832,1119
2007M02,69999,1078
2007M03,85969,1120
2007M04,89202,1054
2007M05,107708,1234
2007M06,105665,1166
2007M07,111369,1208
2007M08,111569,1163
2007M09,110137,1187
2007M10,100752,1185
2007M11,69055,908
2007M12,63940,866
2008M01,60353,862
2008M02,67619,884
2008M03,78959,962
2008M04,84289,1074
2008M05,92756,1078
2008M06,89705,1112
2008M07,96938,1167
2008M08,101870,1136
2008M09,93217,1102
2008M10,76485,1036
2008M11,47363,763
2008M12,41159,700
2009M01,39672,698
2009M02,42147,670
2009M03,52189,774
2009M04,62295,885
2009M05,62629,809
2009M06,65945,797
2009M07,73095,821
2009M08,71862,809
2009M09,67376,892
2009M10,67706,916
2009M11,40264,757
2009M12,38333,759
2010M01,36825,749
2010M02,47563,838
2010M03,55367,927
2010M04,56224,915
2010M05,63293,924
2010M06,58296,815
2010M07,68162,848
2010M08,70398,866
2010M09,59620,774
2010M10,55346,786
2010M11,39670,704
2010M12,35589,669
2011M01,33838,679
2011M02,44262,701
2011M03,55202,810
2011M04,63010,810
2011M05,59532,836
2011M06,61367,769
2011M07,66196,801
2011M08,70542,822
2011M09,62273,764
2011M10,57324,760
2011M11,34529,593
2011M12,32564,584
2012M01,31482,593
2012M02,37258,586
2012M03,45393,659
2012M04,62034,729
2012M05,60871,754
2012M06,63962,726
2012M07,73728,766
2012M08,74676,746
2012M09,64971,692
2012M10,49854,604
2012M11,26764,427
2012M12,25361,423
2013M01,25171,435
2013M02,24331,367
2013M03,29640,446
2013M04,42483,543
2013M05,58278,642
2013M06,62153,631
2013M07,64427,629
2013M08,67805,620
2013M09,59735,622
2013M10,57118,623
2013M11,30145,411
2013M12,25655,384
2014M01,21068,358
2014M02,24487,385
2014M03,36474,523
2014M04,53444,641
2014M05,55926,675
2014M06,61519,682
2014M07,71989,748
2014M08,66691,556
2014M09,60631,579
2014M10,53638,562
2014M11,28543,374
2014M12,23664,347
2015M01,22407,357
2015M02,27660,380
2015M03,39157,481
2015M04,50196,604
2015M05,54621,658
2015M06,57088,633
2015M07,66407,692
2015M08,67397,612
2015M09,61318,647
2015M10,57466,636
2015M11,30670,437
2015M12,26727,393
2016M01,26770,400
2016M02,41497,499
2016M03,62676,621
2016M04,68153,712
2016M05,68821,724
2016M06,71631,697
2016M07,79362,747
2016M08,82961,710
2016M09,73921,703
2016M10,66861,666
2016M11,40659,505
2016M12,35741,455
2017M01,32218,415
2017M02,34669,422
2017M03,50751,549
2017M04,64220,642
2017M05,77278,762
2017M06,85611,786
2017M07,91106,816
2017M08,93033,764
2017M09,84418,768
2017M10,72152,697
2017M11,34109,420
2017M12,30810,395
2018M01,28758,386
2018M02,31564,394
2018M03,48084,503
2018M04,62368,627
2018M05,81495,741
2018M06,88852,745
2018M07,89212,763
2018M08,86690,715
2018M09,89809,754
2018M10,77503,726
2018M11,34682,422
2018M12,33563,421
